Symbol,Price,Rank
BTC,55205.61163199832,1
ETH,2464.832480516319,2
USDT,1.0006,3
BNB,480.4808111017031,4
SOL,138.73341707558873,5
USDC,0.999972,6
XRP,0.5012947497147578,7
STETH,2453.56,8
DOGE,0.09679528634959363,9
TON,5.471785347788302,10
ADA,0.3244084056546238,11
TRX,0.12260775913785928,12
WBTC,55126.0,13
AVAX,20.43,14
SHIB,1.34e-05,15
BCH,315.27351109814,16
DOT,4.344464269352107,17
LINK,9.903122950613366,18
DAI,0.998972,19
LTC,57.42258070579766,20
UNI,5.6303629573907,21
KAS,0.163518,22
NEAR,3.6115570421404657,23
MATIC,0.4047766758075005,24
ICP,7.3,25
PEPE,7.71e-06,26
USDE,0.998379,27
XMR,148.8997627761875,28
ETC,17.960683083147984,29
XLM,0.09022018989451235,30
APT,5.13,31
FET,0.8494962460336197,32
CRO,0.078433,33
OKB,33.17141434330344,34
FIL,3.401091339445648,35
MNT,0.6008846178974111,36
HBAR,0.05419186537338976,37
FDUSD,0.9978710033920576,38
STX,1.2904056908773338,39
ATOM,4.815235781181183,40
TAO,254.29,41
RENDER,4.639497193784378,42
MKR,1942.4796172398121,43
VET,0.022222766917406666,44
IMX,1.1144098395209656,45
ARB,0.5048362035170327,46
INJ,16.0,47
OP,1.272111654331868,48
SUI,0.5748856137434979,49
AAVE,98.76100805994692,50
WBT,10.053747478242839,51
WIF,1.3853027707595973,52
RETH,2739.97,53
BONK,1.959e-05,54
AR,20.23,55
GRT,0.1365425276891161,56
BGB,0.9112014447065129,57
METH,2552.33,58
FLOKI,0.00011815,59
NOT,0.011099454693865772,60
THETA,1.0975151148599092,61
JUP,0.8066866162483058,62
ONDO,0.719061,63
JASMY,0.02110622,64
RUNE,3.0624224134561575,65
LDO,1.120894047243018,66
TIA,4.89,67
PYTH,0.263217,68
ALGO,0.11181642645721379,69
BRETT,0.092009,70
CORE,1.0028995055804546,71
QNT,59.77,72
GT,6.629114287396128,73
OM,1.025,74
FTM,0.30582152443031513,75
FLOW,0.5210278069547631,76
HNT,4.47,77
SEI,0.237122,78
FTN,2.329337222179802,79
USDD,0.998974,80
BSV,37.2104,81
MSOL,166.85,82
EGLD,26.615900038128103,83
KCS,7.36,84
FLR,0.01569927,85
BTT,7.05931e-07,86
EOS,0.45583147036012117,87
AXS,4.514893453269578,88
TKX,8.23,89
PYUSD,0.999263,90
FRAX,0.996038,91
XTZ,0.6343142858260944,92
AKT,2.53,93
NEO,8.83154091596129,94
GALA,0.01647221,95
BEAM,0.01202784,96
STRK,0.37489386986963136,97
XAUT,2413.7919793883057,98
XEC,2.92e-05,99
CBETH,2643.88,100
ENS,16.99,101
SAND,0.243822,102
NEXO,0.989237220054706,103
WLD,1.6920957428198036,104
AIOZ,0.475878,105
ORDI,24.96,106
CFX,0.12180740585112831,107
ENA,0.2762381357240498,108
TUSD,0.9988325038200604,109
RON,1.445585467202104,110
W,0.18907753149984335,111
MANA,0.2589157186718998,112
FRXETH,2451.29,113
CHZ,0.052187918898172876,114
KLAY,0.120478,115
MINA,0.3959956975619898,116
BOME,0.00647657,117
PAXG,2394.677643050467,118
SATS,2.12704e-07,119
ZEC,29.585860632278017,120
MEW,0.00498847,121
PENDLE,2.79,122
MOG,1.22e-06,123
POPCAT,0.438474,124
IOTA,0.124861,125
SNX,1.2856248072108318,126
USDB,0.998938,127
RAY,1.53,128
ROSE,0.05960940462853748,129
GNO,154.02,130
DEXE,6.98,131
SWETH,2610.32,132
ASTR,0.054237,133
APE,0.561178,134
AERO,0.6588425190899784,135
NFT,3.75456e-07,136
XDC,0.02463631,137
ZK,0.099682,138
BTG,20.93,139
SFRXETH,2674.56,140
LUNC,6.621e-05,141
SFP,0.776725,142
ZRO,3.21,143
TWT,0.8430336157520313,144
LPT,10.378289002782791,145
TFUEL,0.052492,146
CAKE,1.47,147
AXL,0.461376,148
CKB,0.00742648,149
MX,3.38,150
USDY,1.049,151
1INCH,0.259807,152
BDX,0.04860267,153
H2O,0.391156,154
COMP,38.317712358788604,155
KAVA,0.29469024448179604,156
IOTX,0.03209866,157
GAL,2.38,158
WEMIX,0.709537,159
BTC.B,55131.0,160
TRIBE,0.623047,161
JTO,2.26,162
ETHX,2543.95,163
VENOM,0.150762,164
ANT,6.86,165
TURBO,0.00398844,166
AEVO,0.317628,167
DOG,0.0027577,168
ILV,40.8,169
PEOPLE,0.052758,170
DASH,22.256292248265307,171
GLM,0.262639,172
CRV,0.2219490102880019,173
PRIME,5.77,174
WOO,0.133591,175
CORGIAI,0.00074711,176
KSM,16.7240897064449,177
XRD,0.02411322,178
JST,0.02524444,179
ELF,0.34405968311327234,180
ATH,0.061119,181
USDC.E,0.999542,182
CWBTC,1107.94,183
MANTA,0.654185,184
ARKM,1.006,185
ZIL,0.01287478927991141,186
BLUR,0.13408,187
MEME,0.01009663,188
ANKR,0.02400387247569407,189
OSMO,0.35243766226548645,190
PEPECOIN,2.01,191
AGIX,0.401176,192
SC,0.0040875647833467635,193
BAT,0.15616859705794814,194
HOT,0.00130659,195
RPL,11.245097725668384,196
ZRX,0.27378312838736235,197
DYM,1.188808661974569,198
ENJ,0.13796917750866775,199
GMT,0.098837,200
CELO,0.413911,201
OUSG,107.39,202
G,0.03110195,203
ETHFI,1.34,204
ETHDYDX,0.961018,205
LSETH,2599.7,206
QTUM,2.0365006466383684,207
TRAC,0.522764,208
LUNA,0.30801,209
RVN,0.014839126711373931,210
OHM,12.63,211
POLYX,0.188448,212
GMX,20.9,213
SUPER,0.436531,214
NXM,52.97,215
MMX,1.33,216
ALT,0.083922,217
CVX,2.36,218
NEIRO,0.194575,219
ETHW,1.78,220
PAAL,0.223773,221
AMP,0.00335082,222
GAS,2.898360005844435,223
CET,0.06717929802274068,224
CETH,49.45,225
PONKE,0.339261,226
RSR,0.0036251025340285833,227
MASK,1.8479096856807207,228
MWC,16.777057481013312,229
BICO,0.216152,230
ULTIMA,6090.26,231
WBETH,2563.43,232
CSPR,0.01491928,233
XEM,0.02010695365057587,234
SKL,0.03500151279262211,235
GFARM2,5000.3,236
T,0.0179098,237
METIS,29.31,238
TBTC,54947.0,239
TRUMP,3.72,240
AVAIL,0.099687,241
OSAK,2.24917e-07,242
SAVAX,23.73,243
QUBIC,1.58e-06,244
FLUX,0.476962,245
BLAST,0.00894625,246
YFI,5003.360176405309,247
CFG,0.332294,248
GFI,2.09,249
BORG,0.168819,250
XCH,15.07,251
DCR,10.004080097583225,252
HONEY,0.073925,253
ALUSD,0.95986,254
API3,1.3532103618937883,255
IO,1.63,256
ABT,1.57,257
VTHO,0.00193459,258
BAND,1.056510942403943,259
BABYDOGE,1.01e-09,260
MYTH,0.225978,261
ZIG,0.106592,262
LRC,0.12061455239199108,263
UMA,1.79,264
ZETA,0.419949,265
MPLX,0.260321,266
FXS,1.75,267
ID,0.333932,268
AUDIO,0.114419,269
CTC,0.393302,270
NPC,0.01720329,271
SSV,19.21,272
GLMR,0.153101,273
FNSA,16.87,274
EURS,1.089,275
ONT,0.14926597201225145,276
RLB,0.053611,277
OCEAN,0.36685551140664113,278
ELG,0.719688,279
CDT,0.196208,280
TRB,50.51987647245918,281
TEL,0.00168086,282
ACX,0.323869,283
CHR,0.155997,284
0X0,0.13831183468797695,285
AZERO,0.393661,286
ONE,0.01032641,287
MUMU,5.496e-05,287
ALPH,1.48,289
ICX,0.124119,290
KDA,0.431992,291
NOS,1.45,292
AGI,0.121068,293
AMPL,0.956646,294
ZEN,7.84,295
GIGA,0.01247597,296
EDU,0.460549,297
GOMINING,0.282447,298
COTI,0.075346,299
SXP,0.19404248126422408,301
