Date,Open,High,Low,Close,Adj Close,Volume
2020-10-10,0.106884,0.106884,0.050562,0.051755,0.051755,0
2020-10-11,0.051755,0.051755,0.042708,0.043337,0.043337,0
2020-10-12,0.043337,0.049382,0.042684,0.042735,0.042735,0
2020-10-13,0.042932,0.045668,0.041994,0.043382,0.043382,161693
2020-10-14,0.043258,0.045252,0.041750,0.043642,0.043642,1757240
2020-10-15,0.043617,0.043617,0.037759,0.037769,0.037769,1267945
2020-10-16,0.037769,0.038571,0.033369,0.033782,0.033782,1889906
2020-10-17,0.033782,0.045658,0.033673,0.039981,0.039981,8804201
2020-10-18,0.039981,0.039981,0.036610,0.037538,0.037538,2717737
2020-10-19,0.037538,0.037630,0.032029,0.032688,0.032688,1795972
2020-10-20,0.032688,0.032872,0.029101,0.031130,0.031130,1466175
2020-10-21,0.031130,0.034701,0.029225,0.031321,0.031321,2583659
2020-10-22,0.031321,0.034960,0.031120,0.031582,0.031582,2349800
2020-10-23,0.031581,0.034137,0.030610,0.032014,0.032014,936226
2020-10-24,0.032016,0.035471,0.031446,0.032034,0.032034,1053146
2020-10-25,0.032031,0.034691,0.031824,0.034468,0.034468,1024768
2020-10-26,0.034472,0.038896,0.030974,0.032388,0.032388,2705438
2020-10-27,0.032389,0.033664,0.030699,0.031296,0.031296,748955
2020-10-28,0.031304,0.031314,0.028216,0.028794,0.028794,469336
2020-10-29,0.028790,0.034441,0.027093,0.030966,0.030966,2462708
2020-10-30,0.030956,0.030978,0.027379,0.029400,0.029400,1002286
2020-10-31,0.029400,0.029670,0.028133,0.028463,0.028463,338640
2020-11-01,0.028463,0.029392,0.028367,0.029058,0.029058,299587
2020-11-02,0.029059,0.030516,0.028117,0.028123,0.028123,485771
2020-11-03,0.028123,0.028219,0.025701,0.027644,0.027644,398795
2020-11-04,0.027644,0.030028,0.027020,0.028409,0.028409,1220684
2020-11-05,0.028409,0.033435,0.028260,0.030571,0.030571,1908929
2020-11-06,0.030571,0.038678,0.030265,0.037715,0.037715,2347799
2020-11-07,0.037715,0.046511,0.036213,0.039204,0.039204,3298622
2020-11-08,0.039204,0.055433,0.037076,0.049473,0.049473,8342372
2020-11-09,0.049474,0.057601,0.042154,0.047919,0.047919,6632310
2020-11-10,0.047916,0.055614,0.047177,0.052657,0.052657,3855504
2020-11-11,0.052656,0.069694,0.049811,0.056355,0.056355,7869687
2020-11-12,0.056353,0.079106,0.055168,0.065918,0.065918,15082365
2020-11-13,0.065919,0.090820,0.064156,0.085500,0.085500,11023755
2020-11-14,0.085500,0.103916,0.082309,0.093674,0.093674,21569815
2020-11-15,0.093675,0.149174,0.090994,0.139943,0.139943,38311726
2020-11-16,0.139951,0.187570,0.124353,0.147450,0.147450,63746595
2020-11-17,0.126758,0.149138,0.115702,0.123737,0.123737,43742188
2020-11-18,0.123746,0.170531,0.099033,0.148933,0.148933,74746243
2020-11-19,0.148979,0.172276,0.133874,0.139174,0.139174,43973697
2020-11-20,0.139173,0.155012,0.138668,0.142481,0.142481,19951786
2020-11-21,0.142479,0.164724,0.138395,0.156529,0.156529,19878711
2020-11-22,0.156533,0.207289,0.152993,0.195886,0.195886,41313950
2020-11-23,0.195828,0.222200,0.183010,0.192059,0.192059,46004120
2020-11-24,0.192116,0.283346,0.183274,0.268831,0.268831,80848284
2020-11-25,0.268434,0.275659,0.225420,0.245494,0.245494,39363975
2020-11-26,0.245350,0.247271,0.187262,0.211762,0.211762,45904950
2020-11-27,0.212156,0.245330,0.207371,0.219051,0.219051,18813262
2020-11-28,0.219234,0.235158,0.195050,0.223655,0.223655,21694702
2020-11-29,0.224090,0.226862,0.205004,0.222399,0.222399,21016188
2020-11-30,0.222332,0.247507,0.222332,0.229757,0.229757,33276467
2020-12-01,0.229762,0.240081,0.213368,0.227636,0.227636,25650589
2020-12-02,0.227945,0.273188,0.224975,0.261665,0.261665,36987487
2020-12-03,0.261744,0.304052,0.252547,0.281130,0.281130,53796741
2020-12-04,0.281619,0.292289,0.231505,0.234742,0.234742,38106368
2020-12-05,0.234217,0.265224,0.231030,0.261833,0.261833,22771898
2020-12-06,0.261663,0.263872,0.241773,0.253656,0.253656,21517712
2020-12-07,0.253702,0.254414,0.237435,0.239843,0.239843,17808715
2020-12-08,0.239633,0.242973,0.206017,0.208067,0.208067,25594803
2020-12-09,0.208045,0.235154,0.190908,0.222544,0.222544,34677915
2020-12-10,0.222483,0.222740,0.203614,0.207880,0.207880,19450091
2020-12-11,0.207788,0.207788,0.177552,0.177556,0.177556,24956673
2020-12-12,0.176355,0.205415,0.174430,0.202099,0.202099,27593435
2020-12-13,0.202168,0.218770,0.196577,0.204555,0.204555,24522815
2020-12-14,0.204550,0.208527,0.195966,0.206972,0.206972,20315975
2020-12-15,0.206974,0.209208,0.192231,0.193708,0.193708,20453882
2020-12-16,0.193590,0.244950,0.190906,0.237731,0.237731,39813924
2020-12-17,0.237546,0.253635,0.226472,0.228080,0.228080,33499396
2020-12-18,0.228138,0.247544,0.223578,0.239473,0.239473,23836640
2020-12-19,0.239757,0.250229,0.226278,0.228101,0.228101,20092270
2020-12-20,0.228075,0.235246,0.206172,0.211899,0.211899,19633349
2020-12-21,0.211731,0.219102,0.198630,0.206584,0.206584,20460256
2020-12-22,0.206331,0.216797,0.188822,0.206749,0.206749,27325876
2020-12-23,0.206762,0.208458,0.161366,0.172900,0.172900,5232090
2020-12-24,0.172915,0.182021,0.160946,0.181949,0.181949,15495249
2020-12-25,0.181862,0.184807,0.167925,0.168869,0.168869,13029914
2020-12-26,0.168799,0.174740,0.163610,0.166429,0.166429,15005853
2020-12-27,0.166510,0.187263,0.155666,0.174279,0.174279,20114409
2020-12-28,0.174089,0.192398,0.174087,0.184502,0.184502,14951994
2020-12-29,0.184517,0.194149,0.172113,0.193059,0.193059,16935080
2020-12-30,0.193184,0.193549,0.178885,0.180314,0.180314,17320459
2020-12-31,0.180298,0.186202,0.175159,0.184417,0.184417,14692643
2021-01-01,0.184460,0.219537,0.182121,0.217576,0.217576,20910635
2021-01-02,0.217574,0.243693,0.210333,0.235371,0.235371,35834369
2021-01-03,0.235095,0.304547,0.227330,0.286777,0.286777,44645302
2021-01-04,0.286295,0.318381,0.243885,0.255724,0.255724,44368429
2021-01-05,0.256275,0.288453,0.243250,0.287572,0.287572,31095586
2021-01-06,0.287457,0.305079,0.271625,0.294739,0.294739,32838009
2021-01-07,0.294905,0.457090,0.294905,0.412254,0.412254,146673193
2021-01-08,0.412699,0.451088,0.355438,0.383549,0.383549,84810877
2021-01-09,0.384157,0.479738,0.373505,0.456217,0.456217,35921788
2021-01-10,0.456718,0.489203,0.394958,0.425019,0.425019,51814998
2021-01-11,0.424724,0.424724,0.303655,0.352750,0.352750,49014269
2021-01-12,0.352852,0.412628,0.332851,0.382845,0.382845,46717519
2021-01-13,0.383312,0.468878,0.368640,0.459567,0.459567,51061611
2021-01-14,0.459171,0.477394,0.414706,0.437138,0.437138,55102321
2021-01-15,0.437193,0.494322,0.394553,0.433895,0.433895,57405020
2021-01-16,0.433901,0.548245,0.428741,0.475864,0.475864,78042081
2021-01-17,0.475648,0.513288,0.444700,0.490256,0.490256,49654745
2021-01-18,0.489587,0.544216,0.488832,0.544216,0.544216,47803237
2021-01-19,0.544003,0.646648,0.543993,0.583237,0.583237,78531999
2021-01-20,0.580781,0.723729,0.561352,0.716555,0.716555,96453904
2021-01-21,0.717293,0.783418,0.638517,0.650923,0.650923,106640650
2021-01-22,0.649584,0.845072,0.592082,0.801494,0.801494,105073424
2021-01-23,0.801036,1.010588,0.779684,0.899990,0.899990,93559875
2021-01-24,0.899923,1.091273,0.896606,1.091273,1.091273,145557361
2021-01-25,1.090329,1.097677,0.930640,0.937375,0.937375,112324739
2021-01-26,0.937185,1.439621,0.930992,1.425426,1.425426,252963793
2021-01-27,1.427538,1.754524,1.247455,1.470814,1.470814,462456746
2021-01-28,1.472579,1.855573,1.396835,1.667279,1.667279,262098048
2021-01-29,1.617131,2.157923,1.378025,2.128826,2.128826,392067201
2021-01-30,2.127835,2.362773,1.908047,2.153619,2.153619,307752492
2021-01-31,2.156268,2.318254,1.993027,2.044217,2.044217,140871493
2021-02-01,2.035010,2.171949,1.751879,2.084560,2.084560,275001097
2021-02-02,2.082754,2.113028,1.855892,1.921181,1.921181,177095009
2021-02-03,1.921832,2.135474,1.832906,2.113599,2.113599,185353031
2021-02-04,2.114984,2.493390,1.950992,2.318082,2.318082,325628118
2021-02-05,2.312439,2.924124,2.306051,2.619121,2.619121,235260312
2021-02-06,2.618366,2.635390,2.293103,2.440110,2.440110,198179282
2021-02-07,2.435574,2.455991,1.946574,2.238143,2.238143,210688128
2021-02-08,2.235181,2.453496,2.112472,2.249326,2.249326,165782502
2021-02-09,2.249964,2.583912,2.004231,2.104305,2.104305,241087127
2021-02-10,2.102989,2.419643,1.972845,2.197801,2.197801,217900295
2021-02-11,2.186729,2.261347,2.047258,2.134378,2.134378,143141629
2021-02-12,2.133979,2.404516,2.052039,2.169429,2.169429,158986952
2021-02-13,2.170070,2.315745,1.748436,1.868868,1.868868,378003883
2021-02-14,1.867364,1.896226,1.581190,1.695226,1.695226,160667572
2021-02-15,1.683748,1.812334,1.332662,1.594256,1.594256,23822726
2021-02-16,1.599457,1.763697,1.502374,1.600848,1.600848,69375538
2021-02-17,1.601575,1.729736,1.412316,1.673081,1.673081,44189373
2021-02-18,1.673334,1.852576,1.570582,1.631897,1.631897,137647711
2021-02-19,1.632337,1.687093,1.525433,1.554075,1.554075,118400437
2021-02-20,1.556240,1.795631,1.467694,1.576648,1.576648,144079946
2021-02-21,1.572876,1.650832,1.499332,1.604975,1.604975,89025357
2021-02-22,1.603881,1.779561,1.211344,1.472418,1.472418,226778327
2021-02-23,1.471483,1.475359,0.992113,1.225858,1.225858,69781124
2021-02-24,1.226223,1.527168,1.164368,1.518975,1.518975,114882188
2021-02-25,1.516582,1.774848,1.408555,1.408555,1.408555,176423268
2021-02-26,1.407187,1.436844,1.175758,1.276835,1.276835,150772600
