Date,Open,High,Low,Close,Adj Close,Volume
2021-10-22,5.034775,5.818793,4.190699,4.386953,4.386953,8621154
2021-10-23,4.387019,4.438906,3.813290,3.951380,3.951380,3896472
2021-10-24,3.952106,4.105278,3.647156,3.740738,3.740738,2682737
2021-10-25,3.740734,4.309172,3.254552,3.934856,3.934856,5905246
2021-10-26,3.934249,4.246360,3.779694,3.987800,3.987800,4760540
2021-10-27,3.996717,4.027398,3.287406,3.559516,3.559516,3289153
2021-10-28,3.554669,3.874473,3.306645,3.408769,3.408769,3085046
2021-10-29,3.408621,3.718405,3.224127,3.563303,3.563303,1894152
2021-10-30,3.563349,3.897495,3.459469,3.737980,3.737980,1541254
2021-10-31,3.738204,3.980100,3.587634,3.907528,3.907528,1668966
2021-11-01,3.907296,3.969598,3.777463,3.955871,3.955871,1371772
2021-11-02,3.955881,4.938178,3.945342,4.591576,4.591576,4085239
2021-11-03,4.591692,6.234790,4.506215,5.580934,5.580934,9711541
2021-11-04,5.579829,6.767289,5.477844,5.739163,5.739163,9387868
2021-11-05,5.738766,5.850701,4.859003,5.149250,5.149250,2974646
2021-11-06,5.147180,5.291423,4.916354,5.199625,5.199625,1675446
2021-11-07,5.200385,5.317872,4.963185,5.246642,5.246642,1913996
2021-11-08,5.252405,5.815223,5.074334,5.802520,5.802520,2875561
2021-11-09,5.800817,5.913947,5.459914,5.614175,5.614175,3493516
2021-11-10,5.608956,5.909581,5.033775,5.086113,5.086113,5052346
2021-11-11,5.092553,5.809976,4.795642,5.683156,5.683156,4115667
2021-11-12,5.675413,5.687255,4.986490,5.101350,5.101350,4021404
2021-11-13,5.104483,5.262067,4.910681,4.998743,4.998743,1661099
2021-11-14,4.999355,5.118303,4.727212,4.928792,4.928792,546614
2021-11-15,4.929492,4.973173,4.564391,4.572200,4.572200,534621
2021-11-16,4.576649,4.586817,3.853044,4.165051,4.165051,1632491
2021-11-17,4.163045,4.309720,3.939362,4.273943,4.273943,1532808
2021-11-18,4.284756,4.550548,3.981710,4.052733,4.052733,1524771
2021-11-19,4.052680,4.368275,4.000853,4.222565,4.222565,1047153
2021-11-20,4.221231,4.335314,4.116211,4.297327,4.297327,585353
2021-11-21,4.300035,4.305159,3.820756,4.024048,4.024048,1049492
2021-11-22,4.023514,4.026032,3.431824,3.498389,3.498389,1013925
2021-11-23,3.496449,3.651799,3.359379,3.644297,3.644297,1302400
2021-11-24,3.644520,3.722223,3.519628,3.606777,3.606777,1154072
2021-11-25,3.560268,3.629208,3.404236,3.611059,3.611059,847333
2021-11-26,3.526821,3.532560,3.214940,3.294310,3.294310,1022048
2021-11-27,3.294016,3.524196,3.272691,3.407514,3.407514,612492
2021-11-28,3.406831,3.429605,3.234336,3.397687,3.397687,664365
2021-11-29,3.398029,3.456678,3.212026,3.270282,3.270282,853950
2021-11-30,3.269683,3.270840,3.091486,3.178795,3.178795,1204166
2021-12-01,3.178416,3.206805,3.001049,3.071900,3.071900,628245
2021-12-02,3.072035,3.072035,2.810162,2.855767,2.855767,703872
2021-12-03,2.855645,2.914297,2.654903,2.703185,2.703185,445357
2021-12-04,2.703976,2.703976,2.280358,2.528780,2.528780,1208476
2021-12-05,2.528671,2.556784,2.373819,2.418376,2.418376,375538
2021-12-06,2.420474,2.431933,2.066527,2.240426,2.240426,573995
2021-12-07,2.240590,2.356598,2.194188,2.231914,2.231914,338802
2021-12-08,2.231828,2.304583,2.198752,2.260321,2.260321,248434
2021-12-09,2.256907,2.268888,2.148995,2.175227,2.175227,436440
2021-12-10,2.174692,2.249313,2.098187,2.135368,2.135368,570678
2021-12-11,2.135566,2.202823,2.031961,2.121682,2.121682,644422
2021-12-12,2.121465,2.125060,2.025642,2.098918,2.098918,541503
2021-12-13,2.099336,2.126496,1.916459,1.947691,1.947691,501033
2021-12-14,1.948037,1.983171,1.900194,1.917965,1.917965,476742
2021-12-15,1.926400,1.931821,1.708610,1.841889,1.841889,821649
2021-12-16,1.841895,1.907253,1.757989,1.785533,1.785533,647447
2021-12-17,1.785761,1.790477,1.665450,1.710953,1.710953,411383
2021-12-18,1.710637,1.753441,1.669448,1.694042,1.694042,407649
2021-12-19,1.693836,1.719029,1.665619,1.703458,1.703458,366708
2021-12-20,1.702944,1.703128,1.546829,1.571948,1.571948,514017
2021-12-21,1.572057,1.670205,1.557005,1.657640,1.657640,807045
2021-12-22,1.658094,1.721970,1.631077,1.678205,1.678205,718740
2021-12-23,1.678102,1.682810,1.585194,1.672937,1.672937,839581
2021-12-24,1.673094,1.744494,1.637556,1.647150,1.647150,954264
2021-12-25,1.647732,1.700044,1.641304,1.699169,1.699169,635977
2021-12-26,1.698960,1.763661,1.644447,1.755803,1.755803,679000
2021-12-27,1.755579,1.790740,1.700350,1.700475,1.700475,752316
2021-12-28,1.701420,1.811839,1.665929,1.739958,1.739958,966882
2021-12-29,1.739732,1.767372,1.574304,1.578532,1.578532,729914
2021-12-30,1.578662,1.613376,1.508846,1.561560,1.561560,855702
2021-12-31,1.561116,1.620059,1.522822,1.543903,1.543903,872168
2022-01-01,1.543914,1.590216,1.529272,1.573203,1.573203,744130
2022-01-02,1.573262,1.625906,1.562199,1.568721,1.568721,821786
2022-01-03,1.568710,1.596743,1.552538,1.568258,1.568258,198867
2022-01-04,1.568252,1.717080,1.539158,1.667347,1.667347,747543
2022-01-05,1.667342,1.668002,1.523149,1.559531,1.559531,797301
2022-01-06,1.559397,1.597663,1.489389,1.526280,1.526280,775194
2022-01-07,1.526335,1.539323,1.405399,1.452791,1.452791,737006
2022-01-08,1.452854,1.454519,1.369656,1.433255,1.433255,677795
2022-01-09,1.433316,1.477595,1.393932,1.441903,1.441903,339592
2022-01-10,1.441819,1.522983,1.352759,1.416684,1.416684,694180
2022-01-11,1.416565,1.629105,1.401594,1.564421,1.564421,794044
2022-01-12,1.564370,1.678343,1.502148,1.574532,1.574532,785597
2022-01-13,1.574509,1.685578,1.507855,1.600428,1.600428,710534
2022-01-14,1.600422,1.690442,1.553132,1.589580,1.589580,363638
2022-01-15,1.589211,1.619530,1.428733,1.540607,1.540607,265669
2022-01-16,1.540592,1.542072,1.460327,1.491801,1.491801,166344
2022-01-17,1.492053,1.493834,1.379056,1.389504,1.389504,190142
2022-01-18,1.389752,1.418482,1.299845,1.418482,1.418482,273120
2022-01-19,1.418487,1.420127,1.314456,1.330806,1.330806,124521
2022-01-20,1.330572,1.450645,1.304608,1.384615,1.384615,257777
2022-01-21,1.384375,1.405434,1.203122,1.204343,1.204343,504041
2022-01-22,1.204350,1.213578,1.048743,1.099358,1.099358,429085
2022-01-23,1.099335,1.153693,1.068770,1.123071,1.123071,181867
2022-01-24,1.123315,1.125596,0.985742,1.034591,1.034591,294014
2022-01-25,1.034352,1.047255,0.957305,0.984763,0.984763,466687
2022-01-26,0.987388,1.154805,0.959883,0.994748,0.994748,531792
2022-01-27,0.994751,1.102734,0.945763,0.957873,0.957873,452824
2022-01-28,0.957878,0.991134,0.932195,0.956124,0.956124,333873
