Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,1.402218,1.456358,1.285163,1.359766,1.359766,57779813
2023-02-24,1.359758,1.835637,1.270669,1.553284,1.553284,245039173
2023-02-25,1.556040,1.757202,1.284332,1.347282,1.347282,189688591
2023-02-26,1.346340,1.389136,1.298626,1.323408,1.323408,66769603
2023-02-27,1.323738,1.343709,1.066681,1.107880,1.107880,79362906
2023-02-28,1.107765,1.156433,0.980528,1.001739,1.001739,102183906
2023-03-01,1.001737,1.047385,0.980353,1.029734,1.029734,43570038
2023-03-02,1.029540,1.070888,0.998972,1.019184,1.019184,46195732
2023-03-03,1.019568,1.020342,0.856166,0.877068,0.877068,48948166
2023-03-04,0.876896,0.887500,0.710641,0.726098,0.726098,43051154
2023-03-05,0.725843,0.795490,0.718461,0.739954,0.739954,35617702
2023-03-06,0.739899,0.756557,0.686704,0.740807,0.740807,36786893
2023-03-07,0.741202,0.759792,0.695406,0.722280,0.722280,30068846
2023-03-08,0.722255,0.731026,0.665778,0.675623,0.675623,22254644
2023-03-09,0.675605,0.724969,0.626590,0.640029,0.640029,38425233
2023-03-10,0.640394,0.640692,0.545201,0.584338,0.584338,40060514
2023-03-11,0.584178,0.623070,0.557507,0.591958,0.591958,36724384
2023-03-12,0.591840,0.638240,0.558852,0.629314,0.629314,26238310
2023-03-13,0.628939,0.691932,0.611669,0.674367,0.674367,46709514
2023-03-14,0.674420,0.738301,0.659040,0.679885,0.679885,47382956
2023-03-15,0.679916,0.707661,0.576819,0.583054,0.583054,38771524
2023-03-16,0.584042,0.599254,0.573374,0.594654,0.594654,21245191
2023-03-17,0.594503,0.681773,0.586991,0.664879,0.664879,54886916
2023-03-18,0.664843,0.691640,0.615023,0.616540,0.616540,31395664
2023-03-19,0.616615,0.645563,0.609877,0.626568,0.626568,16618088
2023-03-20,0.626434,0.635336,0.563493,0.564913,0.564913,19231057
2023-03-21,0.565015,0.601043,0.562789,0.601043,0.601043,14678270
2023-03-22,0.600925,0.600925,0.534618,0.548506,0.548506,15664462
2023-03-23,0.548467,0.576187,0.543422,0.572177,0.572177,12168107
2023-03-24,0.571926,0.640654,0.571152,0.609452,0.609452,31886631
2023-03-25,0.609800,0.616141,0.567102,0.580385,0.580385,13704977
2023-03-26,0.580647,0.588472,0.567489,0.576757,0.576757,10852498
2023-03-27,0.576898,0.577743,0.527328,0.542878,0.542878,12728840
2023-03-28,0.542937,0.556602,0.531981,0.554687,0.554687,9321585
2023-03-29,0.554600,0.585987,0.553686,0.579252,0.579252,12897532
2023-03-30,0.579319,0.587007,0.545969,0.548511,0.548511,13296499
2023-03-31,0.548431,0.561264,0.539035,0.558050,0.558050,9464115
2023-04-01,0.558172,0.580875,0.545916,0.578732,0.578732,11260156
2023-04-02,0.554759,0.635819,0.552054,0.618347,0.618347,49157988
2023-04-03,0.618236,0.637091,0.561760,0.571799,0.571799,23539337
2023-04-04,0.571847,0.594139,0.568481,0.582562,0.582562,12233475
2023-04-05,0.582570,0.602422,0.572694,0.583993,0.583993,12682045
2023-04-06,0.584055,0.584220,0.560789,0.567161,0.567161,7949550
2023-04-07,0.567063,0.574609,0.555239,0.565398,0.565398,6816715
2023-04-08,0.565474,0.576565,0.560632,0.567798,0.567798,6931375
2023-04-09,0.567626,0.581277,0.559531,0.575160,0.575160,8355775
2023-04-10,0.575190,0.586244,0.566789,0.585469,0.585469,8423223
2023-04-11,0.585388,0.593745,0.578023,0.583139,0.583139,7667033
2023-04-12,0.583113,0.583141,0.559511,0.570989,0.570989,7301191
2023-04-13,0.566933,0.603170,0.564646,0.603084,0.603084,11526882
2023-04-14,0.603440,0.627322,0.588630,0.611038,0.611038,14711805
2023-04-15,0.610972,0.652235,0.604688,0.649272,0.649272,15990513
2023-04-16,0.648888,0.740019,0.635573,0.694347,0.694347,66836360
2023-04-17,0.694273,0.694273,0.647665,0.665267,0.665267,17352575
2023-04-18,0.665226,0.701395,0.642394,0.677164,0.677164,16723538
2023-04-19,0.677058,0.682519,0.598056,0.607866,0.607866,20721699
2023-04-20,0.607647,0.609501,0.573384,0.582918,0.582918,10821807
2023-04-21,0.582988,0.589271,0.542696,0.557848,0.557848,9918236
2023-04-22,0.557921,0.579763,0.549026,0.579763,0.579763,8871719
2023-04-23,0.579812,0.634205,0.570802,0.614638,0.614638,24966089
2023-04-24,0.614661,0.668526,0.588683,0.660034,0.660034,30328496
2023-04-25,0.659712,0.670656,0.622636,0.641986,0.641986,22675473
2023-04-26,0.641941,0.658867,0.607328,0.611318,0.611318,20953895
2023-04-27,0.611378,0.630014,0.592166,0.615574,0.615574,13162591
2023-04-28,0.615804,0.615804,0.584840,0.589445,0.589445,7522118
2023-04-29,0.589400,0.602158,0.584720,0.600423,0.600423,6054312
2023-04-30,0.600390,0.600411,0.574008,0.588035,0.588035,6000367
2023-05-01,0.587879,0.588591,0.562921,0.577092,0.577092,7777069
2023-05-02,0.576933,0.603112,0.572030,0.593187,0.593187,7493218
2023-05-03,0.593253,0.593264,0.566266,0.591960,0.591960,6783257
2023-05-04,0.592024,0.598583,0.572311,0.579976,0.579976,6485529
2023-05-05,0.580005,0.629072,0.578751,0.616161,0.616161,13434281
2023-05-06,0.616288,0.617365,0.573936,0.584020,0.584020,8628931
2023-05-07,0.583993,0.589260,0.557551,0.567309,0.567309,7258349
2023-05-08,0.567278,0.572598,0.475878,0.480904,0.480904,15643430
2023-05-09,0.480949,0.483804,0.457444,0.474891,0.474891,7975343
2023-05-10,0.474877,0.525941,0.467312,0.496513,0.496513,22061365
2023-05-11,0.496615,0.496615,0.459521,0.473354,0.473354,7098574
2023-05-12,0.473286,0.487756,0.460432,0.487742,0.487742,6247258
