Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,3.779583,4.563198,3.615051,4.163868,4.163868,343648
2022-05-05,4.163872,4.489426,3.571392,3.818835,3.818835,438130
2022-05-06,3.818843,4.349401,3.499908,3.670965,3.670965,216220
2022-05-07,3.670924,4.247429,3.588939,3.683609,3.683609,126169
2022-05-08,3.683601,3.699215,3.259426,3.389655,3.389655,72074
2022-05-09,3.389710,3.431631,2.901167,2.945501,2.945501,90218
2022-05-10,2.945608,3.182938,2.750585,2.774931,2.774931,96968
2022-05-11,2.774928,2.831449,1.664747,2.138964,2.138964,255330
2022-05-12,2.138980,2.252906,1.289711,1.316525,1.316525,512795
2022-05-13,1.316416,1.666882,1.299296,1.666350,1.666350,299582
2022-05-14,1.666356,1.666616,1.328265,1.397583,1.397583,115479
2022-05-15,1.397583,1.839909,1.343635,1.817276,1.817276,136424
2022-05-16,1.817304,2.107151,1.619924,1.748332,1.748332,318103
2022-05-17,1.748321,1.870256,1.671650,1.825197,1.825197,64487
2022-05-18,1.825184,1.830983,1.098530,1.427828,1.427828,791992
2022-05-19,1.427805,1.598346,1.198914,1.351109,1.351109,732234
2022-05-20,1.351088,1.358424,1.199589,1.357763,1.357763,193708
2022-05-21,1.357866,1.418219,1.263422,1.405712,1.405712,72622
2022-05-22,1.405703,1.468701,1.351294,1.440324,1.440324,60474
2022-05-23,1.440322,1.698182,1.359448,1.567779,1.567779,127757
2022-05-24,1.567716,2.008117,1.543086,1.992899,1.992899,111071
2022-05-25,1.992871,2.468654,1.992490,2.108848,2.108848,510348
2022-05-26,2.108830,2.193380,1.724724,1.978805,1.978805,231911
2022-05-27,1.978232,2.165553,1.714531,1.984178,1.984178,436822
2022-05-28,1.984020,2.270226,1.929179,2.270226,2.270226,411766
2022-05-29,2.891701,3.530890,2.628231,2.921922,2.921922,472305
2022-05-30,2.921871,3.689335,2.772832,3.038141,3.038141,733481
2022-05-31,3.038120,3.348958,2.839522,3.290614,3.290614,339356
2022-06-01,3.290497,3.512402,2.962794,3.117051,3.117051,391814
2022-06-02,3.116528,3.688440,3.108075,3.616267,3.616267,291357
2022-06-03,3.616231,3.679439,3.096821,3.096821,3.096821,213469
2022-06-04,3.096974,3.179373,2.902254,2.996066,2.996066,225197
2022-06-05,2.996245,3.034056,2.581251,2.778471,2.778471,356315
2022-06-06,2.778662,2.792384,1.889620,1.976719,1.976719,411329
