Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,0.678968,0.712180,0.643160,0.652270,0.652270,36865335
2020-09-30,0.645270,0.677430,0.591873,0.627828,0.627828,48787023
2020-10-01,0.627443,0.683053,0.558008,0.561729,0.561729,34040792
2020-10-02,0.561943,0.580400,0.432749,0.468128,0.468128,31095616
2020-10-03,0.467177,0.492846,0.412615,0.415532,0.415532,25528072
2020-10-04,0.415646,0.418854,0.346009,0.358937,0.358937,21797375
2020-10-05,0.358937,0.402766,0.306918,0.381905,0.381905,35982429
2020-10-06,0.380289,0.408595,0.292357,0.300760,0.300760,26280207
2020-10-07,0.301163,0.301163,0.253142,0.263556,0.263556,16199004
2020-10-08,0.264065,0.294904,0.248649,0.281798,0.281798,15663706
2020-10-09,0.283337,0.307385,0.266235,0.294710,0.294710,15904661
2020-10-10,0.293569,0.306765,0.260057,0.263194,0.263194,10433141
2020-10-11,0.264520,0.281910,0.249290,0.279239,0.279239,11616545
2020-10-12,0.278877,0.278877,0.256842,0.259978,0.259978,9621437
2020-10-13,0.259885,0.281630,0.255792,0.276678,0.276678,11762182
2020-10-14,0.276238,0.295549,0.260948,0.272025,0.272025,11569987
2020-10-15,0.272188,0.274014,0.258927,0.262283,0.262283,7419723
2020-10-16,0.262003,0.266273,0.248311,0.252303,0.252303,6598315
2020-10-17,0.251889,0.259032,0.244213,0.254082,0.254082,5526206
2020-10-18,0.254350,0.261037,0.251654,0.257323,0.257323,5488254
2020-10-19,0.258060,0.266772,0.248568,0.263135,0.263135,9084397
2020-10-20,0.263263,0.263349,0.234819,0.237906,0.237906,6576229
2020-10-21,0.238286,0.252878,0.236861,0.243657,0.243657,6988099
2020-10-22,0.243020,0.247912,0.233835,0.236450,0.236450,5499040
2020-10-23,0.236152,0.236152,0.217710,0.222259,0.222259,5228957
2020-10-24,0.222259,0.233037,0.219260,0.226337,0.226337,5041432
2020-10-25,0.226337,0.230849,0.206762,0.209470,0.209470,6511115
2020-10-26,0.209470,0.219593,0.192782,0.197173,0.197173,8213675
2020-10-27,0.197173,0.200275,0.186421,0.190428,0.190428,6269216
2020-10-28,0.190428,0.195040,0.163972,0.167257,0.167257,5845201
2020-10-29,0.167257,0.169960,0.151306,0.151730,0.151730,4377386
2020-10-30,0.151730,0.162801,0.138787,0.156816,0.156816,10735458
2020-10-31,0.156816,0.162969,0.151414,0.151917,0.151917,5211256
2020-11-01,0.151917,0.153292,0.144542,0.149912,0.149912,3429089
2020-11-02,0.149912,0.157575,0.146704,0.149867,0.149867,6639865
2020-11-03,0.149867,0.149867,0.134264,0.136181,0.136181,4752357
2020-11-04,0.136181,0.136237,0.121836,0.124412,0.124412,5132959
2020-11-05,0.124412,0.135166,0.121458,0.129686,0.129686,4846658
2020-11-06,0.129685,0.161460,0.127782,0.155698,0.155698,12824634
2020-11-07,0.155698,0.169343,0.135050,0.141414,0.141414,13526746
2020-11-08,0.141414,0.154869,0.138961,0.150899,0.150899,6371117
2020-11-09,0.150899,0.153715,0.142384,0.149279,0.149279,6300381
2020-11-10,0.149278,0.170480,0.146924,0.167397,0.167397,6183981
2020-11-11,0.167395,0.177420,0.156825,0.158100,0.158100,6377282
2020-11-12,0.158107,0.166137,0.146177,0.151340,0.151340,6576109
2020-11-13,0.151331,0.166369,0.148913,0.165946,0.165946,6352364
2020-11-14,0.165952,0.176040,0.159492,0.174759,0.174759,7958915
2020-11-15,0.174747,0.199345,0.174747,0.188763,0.188763,15054366
2020-11-16,0.188753,0.211779,0.181047,0.204244,0.204244,16768120
2020-11-17,0.209671,0.218370,0.200103,0.207065,0.207065,12715079
2020-11-18,0.207036,0.209167,0.174048,0.182835,0.182835,10539737
2020-11-19,0.182823,0.211456,0.180842,0.206139,0.206139,10936114
