Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2022-06-01,0.0001860000047599,0.0001889999984996,0.0001699999993434,0.0001840000040829,41607,0.0,0.0,-1.0752691536657233,-0.0107526915366572
2022-06-02,0.0001840000040829,0.0005000000237487,0.0001720000000204,0.0004799999878741,57158,0.0,0.0,,1.6086955283861797
2022-06-03,0.0004799999878741,0.0007500000065192,0.0003499999875202,0.0005890000029467,137551,0.0,0.0,,0.2270833704712295
2022-06-04,0.0005890000029467,0.0006150000263005,0.000452000007499,0.0005569999921135,155008,0.0,0.0,-5.4329389937364185,-0.0543293899373641
2022-06-05,0.0005569999921135,0.000560000014957,0.0004550000012386,0.0004990000161342,115634,0.0,0.0,-10.41292222630434,-0.1041292222630434
2022-06-06,0.0004990000161342,0.0004990000161342,0.0002500000118743,0.0003999999898951,100250,0.0,0.0,,-0.1983968397557629
2022-06-07,0.0003999999898951,0.00044999999227,0.0003800000122282,0.0004400000034365,90467,0.0,0.0,10.000003637972602,0.100000036379726
2022-06-08,0.0004400000034365,0.0005440000095404,0.0003800000122282,0.0004990000161342,106472,0.0,0.0,13.409093690203738,0.1340909369020373
2022-06-09,0.0004990000161342,0.000560000014957,0.0004100000078324,0.000557999999728,132960,0.0,0.0,11.823643624478908,0.118236436244789
2022-06-10,0.000557999999728,0.000560000014957,0.0004799999878741,0.0005189999938011,132038,0.0,0.0,-6.989248377403361,-0.0698924837740336
2022-06-11,0.0005189999938011,0.0005189999938011,0.0004349999944679,0.0004830000107176,105528,0.0,0.0,-6.936413008377904,-0.069364130083779
2022-06-12,0.0004830000107176,0.0004849999968428,0.0004100000078324,0.0004330000083427,92017,0.0,0.0,-10.35196713569722,-0.1035196713569721
2022-06-13,0.0004330000083427,0.0004820000031031,0.0003600000054575,0.000387000007322,97205,0.0,0.0,-10.623556613027375,-0.1062355661302737
2022-06-14,0.000387000007322,0.000410999986343,0.0003000000142492,0.0003129999968223,90250,0.0,0.0,,-0.191214493797487
2022-06-15,0.0003129999968223,0.0004299999854993,0.0003129999968223,0.0003889999934472,84682,0.0,0.0,,0.2428114932794954
2022-06-16,0.0003889999934472,0.0004229999904055,0.0003560000041034,0.0003710000019054,83774,0.0,0.0,-4.627247260929113,-0.0462724726092911
2022-06-17,0.0003710000019054,0.0004199999966658,0.0003000000142492,0.0003560000041034,85883,0.0,0.0,-4.043126071418406,-0.040431260714184
2022-06-18,0.0003560000041034,0.0003819999983534,0.0002699999895412,0.0003290000022388,69085,0.0,0.0,-7.58427009926603,-0.0758427009926603
2022-06-19,0.0003290000022388,0.0003790000046137,0.0002840000088326,0.0003169999981764,69793,0.0,0.0,-3.647417623325723,-0.0364741762332572
2022-06-20,0.0003169999981764,0.0003729999880306,0.0002730000123847,0.0003710000019054,74616,0.0,0.0,,0.1703470158979332
2022-06-21,0.0003710000019054,0.0005990000208839,0.0003710000019054,0.0004400000034365,103277,0.0,0.0,,0.1859838306650307
2022-06-22,0.0004400000034365,0.0004400000034365,0.0003300000098533,0.0003579999902285,87761,0.0,0.0,,-0.1863636649262756
2022-06-23,0.0003579999902285,0.0003900000010617,0.0003250000008847,0.0003720000095199,73484,0.0,0.0,3.910620020538049,0.0391062002053804
2022-06-24,0.0003720000095199,0.0003840000135824,0.0003300000098533,0.0003840000135824,79448,0.0,0.0,3.2258074611307497,0.0322580746113074
2022-06-25,0.0003840000135824,0.0003999999898951,0.0003250000008847,0.0003520000027492,76193,0.0,0.0,-8.333335859722139,-0.0833333585972213
2022-06-26,0.0003520000027492,0.0003699999942909,0.0003260000084992,0.0003670000005513,79660,0.0,0.0,4.261362978678006,0.04261362978678
2022-06-27,0.0003670000005513,0.0003999999898951,0.000330999988364,0.0003539999888744,82135,0.0,0.0,-3.5422375088206115,-0.0354223750882061
2022-06-28,0.0003539999888744,0.0003739999956451,0.0003490000090096,0.0003560000041034,74917,0.0,0.0,0.5649760711460451,0.0056497607114604
2022-06-29,0.0003560000041034,0.0004140000091865,0.0003520000027492,0.0004140000091865,86205,0.0,0.0,,0.16292136071508
2022-06-30,0.0004140000091865,0.0004140000091865,0.0003119999892078,0.0003220000071451,75836,0.0,0.0,,-0.2222222222221148
2022-07-01,0.0003220000071451,0.000361000013072,0.0002859999949578,0.000333000003593,75354,0.0,0.0,3.416147889382855,0.0341614788938285
2022-07-02,0.000333000003593,0.0003410000063013,0.0002800000074785,0.000307000009343,67708,0.0,0.0,-7.807805996836498,-0.0780780599683649
2022-07-03,0.000307000009343,0.0003349999897181,0.0002589999930933,0.0003000000142492,68436,0.0,0.0,-2.280128625657192,-0.0228012862565719
2022-07-04,0.0003000000142492,0.0003220000071451,0.0002500000118743,0.0002819999936036,66932,0.0,0.0,-6.000006596882346,-0.0600000659688234
2022-07-05,0.0002819999936036,0.0003300000098533,0.0002110000059474,0.0002690000110305,64569,0.0,0.0,-4.60992300282593,-0.0460992300282592
2022-07-06,0.0002690000110305,0.0002830000012181,0.0002570000069681,0.0002800000074785,59755,0.0,0.0,4.089217842728186,0.0408921784272818
2022-07-07,0.0002800000074785,0.0002800000074785,0.0002349999995203,0.0002739999908953,58106,0.0,0.0,-2.1428630081950035,-0.02142863008195
2022-07-08,0.0002739999908953,0.0002800000074785,0.00023799999326,0.0002479999966453,55533,0.0,0.0,-9.489049311660397,-0.0948904931166039
2022-07-09,0.0002479999966453,0.0002699999895412,0.0002220000023953,0.0002360000071348,51951,0.0,0.0,-4.838705513235492,-0.0483870551323549
2022-07-10,0.0002360000071348,0.0002589999930933,0.0002070000045932,0.000239999993937,50929,0.0,0.0,1.694909610708294,0.0169490961070829
2022-07-11,0.000239999993937,0.000239999993937,0.0001999999949475,0.000239999993937,52467,0.0,0.0,0.0,0.0
