Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,4.618821,4.873398,3.477914,3.781490,3.781490,8787531
2021-11-30,3.781739,3.893769,3.452417,3.496032,3.496032,2872300
2021-12-01,3.501980,3.556096,3.185484,3.232901,3.232901,0
2021-12-02,3.233992,3.613031,3.210235,3.505119,3.505119,4953834
2021-12-03,3.503099,3.798048,3.233854,3.419156,3.419156,3561781
2021-12-04,3.419562,3.419562,2.647491,3.377472,3.377472,5853133
2021-12-05,3.370514,3.672019,2.937369,3.097273,3.097273,5048142
2021-12-06,3.098887,3.114153,2.870408,2.875607,2.875607,0
2021-12-07,2.877036,2.891700,2.870710,2.884874,2.884874,0
2021-12-08,2.886364,2.887727,2.870383,2.880325,2.880325,0
2021-12-09,2.881538,2.888206,2.868183,2.883794,2.883794,0
2021-12-17,2.881388,2.881388,1.403770,1.467385,1.467385,103524
2021-12-18,1.468230,1.578818,1.417869,1.438446,1.438446,88744
2021-12-19,1.438263,1.456070,1.213338,1.213374,1.213374,110054
2021-12-20,1.212985,1.314394,1.130977,1.168714,1.168714,72619
2021-12-21,1.168796,1.342617,1.099487,1.135317,1.135317,106011
2021-12-22,1.135450,1.490063,1.134554,1.296517,1.296517,55455
2021-12-23,1.296430,1.379736,0.997518,1.319950,1.319950,63395
2021-12-24,1.320112,1.320834,1.068843,1.200926,1.200926,66194
2021-12-25,1.200942,1.252369,1.038952,1.038961,1.038961,56171
2021-12-26,1.039020,1.310434,1.039020,1.276251,1.276251,104460
2021-12-27,1.276072,1.701464,1.207689,1.397612,1.397612,78763
2021-12-28,1.398021,1.399840,1.096942,1.174643,1.174643,114189
2021-12-29,1.174470,1.246538,1.129554,1.162169,1.162169,148110
2021-12-30,1.162241,1.263112,1.118951,1.177342,1.177342,100835
2021-12-31,1.177418,1.205700,1.129233,1.136515,1.136515,90537
2022-01-01,1.136406,1.148144,1.103350,1.111255,1.111255,170027
2022-01-02,1.111246,1.148995,1.070280,1.074594,1.074594,135629
2022-01-03,1.074586,1.100588,1.048479,1.056974,1.056974,91455
2022-01-04,1.056970,1.173912,1.056721,1.075324,1.075324,109718
2022-01-05,1.075320,1.113789,1.020319,1.032632,1.032632,995736
2022-01-06,1.032702,1.033631,0.932393,0.975371,0.975371,934681
2022-01-07,0.975263,0.980839,0.896165,0.898080,0.898080,573088
2022-01-08,0.898093,0.921496,0.883248,0.891312,0.891312,558427
2022-01-09,0.891346,1.219126,0.889029,1.219126,1.219126,1401924
2022-01-10,1.219151,1.596689,1.131798,1.456960,1.456960,5335764
2022-01-11,1.456981,1.694282,1.403404,1.670218,1.670218,2583612
2022-01-12,1.670237,1.700533,1.442780,1.468908,1.468908,1540621
2022-01-13,1.468817,1.477639,1.331634,1.355060,1.355060,1271244
2022-01-14,1.355084,1.432675,1.343073,1.422168,1.422168,827852
2022-01-15,1.422191,1.433869,1.389005,1.399998,1.399998,546181
2022-01-16,1.400121,1.561191,1.399144,1.561191,1.561191,1022965
2022-01-17,1.561281,1.574004,1.350797,1.367221,1.367221,1033075
2022-01-18,1.367152,1.400609,1.224103,1.226667,1.226667,899593
2022-01-19,1.226714,1.274916,1.164755,1.258874,1.258874,1283437
2022-01-20,1.259022,1.259783,1.116894,1.150122,1.150122,1078316
2022-01-21,1.150299,1.151611,0.956827,1.009700,1.009700,1212823
