Date,Open,High,Low,Close,Adj Close,Volume
2021-04-08,1.608268,2.394439,1.590692,2.379330,2.379330,17308120
2021-04-09,2.378493,4.073187,2.341420,4.034826,4.034826,16828473
2021-04-10,4.034622,4.042765,3.513672,3.650428,3.650428,15831383
2021-04-11,3.650764,3.651556,2.738665,2.781649,2.781649,10697696
2021-04-12,2.781650,2.799082,2.663011,2.718258,2.718258,5403621
2021-04-13,2.718402,2.860934,2.502022,2.685829,2.685829,3959004
2021-04-14,2.684447,3.619550,2.682942,3.510183,3.510183,3637799
2021-04-15,3.517336,3.531532,3.280252,3.363361,3.363361,6162569
2021-04-16,3.362560,3.389367,2.832602,2.846441,2.846441,5484398
2021-04-17,2.845528,2.934625,2.654238,2.657354,2.657354,4978923
2021-04-18,2.653611,2.673098,2.234403,2.293446,2.293446,3915509
2021-04-19,2.292603,2.532126,2.259970,2.526192,2.526192,4055582
2021-04-20,2.527540,2.628538,2.375817,2.628538,2.628538,2642836
2021-04-21,2.629551,2.748162,2.314958,2.432795,2.432795,5212870
2021-04-22,2.431958,2.990938,2.288672,2.416141,2.416141,6331590
2021-04-23,2.415622,2.455814,2.123478,2.342794,2.342794,2873634
2021-04-24,2.343631,2.433401,2.009287,2.063973,2.063973,2597025
2021-04-25,2.063671,2.073871,1.724233,1.816268,1.816268,2146458
2021-04-26,1.819946,1.941371,1.720803,1.735523,1.735523,995549
2021-04-27,1.738308,1.781396,1.650624,1.747543,1.747543,868542
2021-04-28,1.742853,1.778109,1.218635,1.394284,1.394284,4286241
2021-04-29,1.394332,1.495892,1.368972,1.405559,1.405559,1356899
2021-04-30,1.404716,1.433160,1.322772,1.411939,1.411939,413903
2021-05-01,1.414069,1.548366,1.366018,1.513505,1.513505,122227
2021-05-02,1.511250,2.275520,1.511250,2.164044,2.164044,277946
2021-05-03,2.165371,2.547446,2.161042,2.324006,2.324006,45267
2021-05-04,2.314880,2.314880,1.975096,1.978629,1.978629,14855
2021-05-05,1.980089,2.192326,1.969851,2.161337,2.161337,77577
2021-05-06,2.159082,2.517972,2.044113,2.431269,2.431269,24889
2021-05-07,2.460072,2.516676,2.108554,2.172525,2.172525,8665
2021-05-08,2.169641,2.238452,1.869128,1.886558,1.886558,28694
2021-05-09,1.893314,1.927412,1.792034,1.819101,1.819101,17275
2021-05-10,1.817293,1.873643,1.505757,1.567706,1.567706,11985
2021-05-11,1.570764,1.619607,1.341962,1.458656,1.458656,9748
2021-05-12,1.459173,1.705575,1.328487,1.354085,1.354085,1802
2021-05-13,1.347110,1.381375,1.174651,1.238876,1.238876,2318
2021-05-14,1.243633,1.734213,1.226875,1.589082,1.589082,15812
2021-05-15,1.589665,1.666970,1.449207,1.464607,1.464607,9242
2021-05-16,1.458741,1.497788,1.324986,1.349857,1.349857,5340
2021-05-17,1.348811,1.351727,1.171159,1.273278,1.273278,4857
2021-05-18,1.273260,1.478370,1.246156,1.449093,1.449093,7422
2021-05-19,1.448360,1.469232,0.889685,1.120860,1.120860,10272
2021-05-20,1.120860,1.441862,0.920728,1.120265,1.120265,16296
2021-05-21,1.121071,1.180985,0.834893,0.931072,0.931072,2996
2021-05-22,0.931154,0.952828,0.808227,0.848605,0.848605,4237
2021-05-23,0.847653,0.906113,0.615140,0.689657,0.689657,3998
2021-05-24,0.687266,0.894094,0.687266,0.862632,0.862632,1803507
2021-05-25,0.860495,0.932779,0.737264,0.825971,0.825971,1347537
2021-05-26,0.826634,0.937094,0.816745,0.910067,0.910067,1449319
2021-05-27,0.909168,0.910987,0.805387,0.810231,0.810231,1127108
2021-05-28,0.811786,0.854200,0.665854,0.771879,0.771879,2086679
2021-05-29,0.771979,0.804847,0.636342,0.654599,0.654599,1980657
2021-05-30,0.655090,0.718142,0.628650,0.689941,0.689941,940490
2021-05-31,0.690123,0.791344,0.643816,0.771570,0.771570,2142278
2021-06-01,0.771819,1.012580,0.743503,0.941349,0.941349,5285343
2021-06-02,0.942416,1.170720,0.917046,1.088047,1.088047,7782747
2021-06-03,1.087270,1.122737,0.969356,1.023957,1.023957,6136758
2021-06-04,1.024167,1.027541,0.850390,0.890366,0.890366,3587026
2021-06-05,0.892098,0.959042,0.783408,0.837143,0.837143,2995318
2021-06-06,0.836400,0.846060,0.702280,0.750324,0.750324,3518133
2021-06-07,0.750460,0.971201,0.718142,0.760472,0.760472,8726078
2021-06-08,0.760943,0.856971,0.706632,0.813731,0.813731,14744855
2021-06-09,0.814070,0.930608,0.786214,0.915429,0.915429,10965081
2021-06-10,0.915253,0.986626,0.828253,0.840435,0.840435,5938353
2021-06-11,0.840122,0.904287,0.805310,0.814095,0.814095,5522453
2021-06-12,0.814486,0.873714,0.754993,0.848049,0.848049,3817728
2021-06-13,0.847677,0.893002,0.794471,0.871078,0.871078,3211253
2021-06-14,0.871514,0.931820,0.846427,0.882455,0.882455,1543471
2021-06-15,0.963010,0.965484,0.902613,0.949778,0.949778,1773185
2021-06-16,0.916612,0.917564,0.867852,0.877718,0.877718,1585056
2021-06-17,0.878205,0.947166,0.867972,0.938409,0.938409,2005600
2021-06-18,0.939893,0.958279,0.810964,0.832308,0.832308,3457133
2021-06-19,0.833003,0.875145,0.807202,0.818919,0.818919,3147291
2021-06-20,0.819198,0.834115,0.752487,0.797122,0.797122,1947703
2021-06-21,0.798044,0.808132,0.577047,0.577047,0.577047,2120810
2021-06-22,0.576724,0.630874,0.484649,0.564477,0.564477,1938273
2021-06-23,0.564518,0.690381,0.550060,0.634813,0.634813,1033265
2021-06-24,0.680823,0.714365,0.643606,0.700976,0.700976,1939019
2021-06-25,0.701957,0.713150,0.600253,0.623884,0.623884,2109152
2021-06-26,0.623677,0.635199,0.567922,0.590029,0.590029,678259
2021-06-27,0.590876,0.627514,0.580491,0.616900,0.616900,930751
2021-06-28,0.617031,0.643064,0.606872,0.617021,0.617021,969734
2021-06-29,0.617513,0.657202,0.610251,0.628208,0.628208,649968
2021-06-30,0.628561,0.630497,0.557804,0.598101,0.598101,678980
2021-07-01,0.598158,0.609466,0.550853,0.570993,0.570993,1184770
2021-07-02,0.570231,0.627888,0.533648,0.618680,0.618680,1684312
2021-07-03,0.615504,0.642921,0.601956,0.625797,0.625797,1428471
2021-07-04,0.625837,0.708494,0.606141,0.661827,0.661827,1275221
2021-07-05,0.661964,0.698820,0.596839,0.631759,0.631759,773904
2021-07-06,0.632970,0.649416,0.609576,0.636977,0.636977,507674
2021-07-07,0.636418,0.958041,0.626110,0.725205,0.725205,12818328
2021-07-08,0.722922,0.770466,0.660399,0.663598,0.663598,12512408
2021-07-09,0.667366,0.743064,0.656216,0.738023,0.738023,3875972
2021-07-10,0.737990,0.863245,0.733196,0.831962,0.831962,4235559
2021-07-11,0.832114,0.867499,0.786096,0.836167,0.836167,4112344
2021-07-12,0.835243,0.967413,0.824977,0.850604,0.850604,3654239
2021-07-13,0.850538,0.892759,0.831047,0.854988,0.854988,3491036
2021-07-14,0.854788,0.952333,0.777722,0.872323,0.872323,4502696
2021-07-15,0.872524,1.495389,0.870396,1.191855,1.191855,18257086
2021-07-16,1.191852,1.371713,0.972489,1.068353,1.068353,23305176
2021-07-17,1.068285,1.086869,0.924400,0.979783,0.979783,9818842
2021-07-18,0.979278,1.117706,0.967243,1.107284,1.107284,2969855
2021-07-19,1.107267,1.111857,0.932098,0.932098,0.932098,4796938
2021-07-20,0.932108,0.972241,0.770346,0.785025,0.785025,5223152
2021-07-21,0.785036,1.053594,0.776287,0.888590,0.888590,5974108
2021-07-22,0.888485,1.045421,0.869365,0.996044,0.996044,5474777
2021-07-23,0.995624,1.170068,0.995624,1.122813,1.122813,13700152
2021-07-24,1.123571,2.345383,1.113669,1.625778,1.625778,21993283
2021-07-25,1.625666,1.937967,1.398197,1.519768,1.519768,17340138
2021-07-26,1.520877,1.767487,1.493986,1.531151,1.531151,10886959
2021-07-27,1.531162,1.742575,1.318839,1.550800,1.550800,11041993
2021-07-28,1.552730,1.987665,1.542008,1.823814,1.823814,12871467
2021-07-29,1.824887,1.980926,1.629066,1.704730,1.704730,14577949
2021-07-30,1.704620,1.921844,1.519537,1.552793,1.552793,13270567
2021-07-31,1.553124,1.564710,1.454519,1.473077,1.473077,8471147
2021-08-01,1.473030,1.682808,1.405925,1.489839,1.489839,5293859
2021-08-02,1.489876,1.543588,1.480298,1.484101,1.484101,3565092
2021-08-03,1.483980,1.591671,1.369093,1.411956,1.411956,4512457
2021-08-04,1.411683,1.514978,1.272585,1.503047,1.503047,4872500
2021-08-05,1.503085,1.508351,1.248196,1.338082,1.338082,6130786
2021-08-06,1.338005,1.342705,0.956365,1.098215,1.098215,10205415
2021-08-07,1.098330,1.203078,1.096116,1.153019,1.153019,11047264
2021-08-08,1.152544,1.160309,1.136854,1.142508,1.142508,6027366
2021-08-09,1.142493,1.385263,1.065859,1.307608,1.307608,4015805
2021-08-10,1.307594,1.311262,1.218713,1.292014,1.292014,4017671
2021-08-11,1.292026,1.909828,1.290828,1.827488,1.827488,12293776
2021-08-12,1.827533,1.998831,1.658113,1.702939,1.702939,18539699
2021-08-13,1.702919,1.779050,1.624555,1.723534,1.723534,12908519
2021-08-14,1.723792,1.787203,1.668761,1.779524,1.779524,6515472
2021-08-15,1.779240,2.070529,1.747240,2.053340,2.053340,9866733
2021-08-16,2.053494,2.277838,2.048570,2.102708,2.102708,11948933
2021-08-17,2.102774,2.152478,1.898368,1.898368,1.898368,9089358
2021-08-18,1.898419,1.970555,1.818062,1.961304,1.961304,8015217
2021-08-19,1.961017,5.796389,1.931415,4.684587,4.684587,910127576
2021-08-20,4.673554,5.259409,4.241998,4.328396,4.328396,370140807
2021-08-21,4.342996,4.347637,3.758705,3.849457,3.849457,98984696
2021-08-22,3.854803,4.793538,3.781791,4.392735,4.392735,139026751
2021-08-23,4.366714,4.738205,4.267005,4.463524,4.463524,120657314
2021-08-24,4.471574,4.528016,3.951914,4.048635,4.048635,82025464
2021-08-25,4.043163,7.650842,4.043163,7.328132,7.328132,825364376
2021-08-26,7.396698,10.503669,7.235812,9.632002,9.632002,1157916668
2021-08-27,9.602251,10.810922,8.799297,9.767907,9.767907,847100024
2021-08-28,9.779526,9.881204,8.517810,8.643475,8.643475,327716467
2021-08-29,8.643622,9.352955,8.407937,8.983674,8.983674,226963786
2021-08-30,8.987517,10.194701,8.671324,8.674662,8.674662,274163316
2021-08-31,8.801596,9.282785,7.357860,7.548689,7.548689,216246351
2021-09-01,7.552859,8.081306,7.070823,7.549490,7.549490,183924459
2021-09-02,7.556578,8.585202,7.499443,7.516495,7.516495,192535153
2021-09-03,7.514530,7.557477,7.080920,7.091161,7.091161,126630335
2021-09-04,7.099569,7.452835,6.682941,6.915279,6.915279,142854852
2021-09-05,6.918933,7.292356,6.729816,6.796230,6.796230,110867397
2021-09-06,6.795858,7.090861,6.385411,6.402702,6.402702,103745433
2021-09-07,6.408822,6.666425,4.506964,4.979141,4.979141,157936135
2021-09-08,4.983108,5.528873,4.470570,5.472716,5.472716,146574666
2021-09-09,5.063518,6.586692,5.063518,5.944226,5.944226,201847538
2021-09-10,5.941332,6.595270,5.275400,5.391219,5.391219,136979499
2021-09-11,5.391512,5.584340,5.252887,5.305082,5.305082,76057278
2021-09-12,5.303841,5.399882,4.969696,5.311143,5.311143,63824881
2021-09-13,5.293422,5.311792,4.504123,4.821612,4.821612,74829954
2021-09-14,4.828510,5.120235,4.737413,5.059963,5.059963,75956798
2021-09-15,5.052983,5.755762,5.024445,5.342832,5.342832,107784850
2021-09-16,5.356009,7.432486,5.184360,6.414431,6.414431,315947901
2021-09-17,6.403441,7.302499,5.707260,5.731118,5.731118,240789991
2021-09-18,5.730307,6.794858,5.707541,6.086389,6.086389,186632787
2021-09-19,6.104520,6.283183,5.400194,5.411703,5.411703,119295598
2021-09-20,5.416534,5.560409,4.561800,4.608134,4.608134,98673048
2021-09-21,4.639069,5.114555,4.313546,4.391456,4.391456,87084513
