Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,0.692276,0.798645,0.309505,0.706942,0.706942,21153
2020-07-21,0.706978,0.743823,0.339836,0.623226,0.623226,15814
2020-07-22,0.511301,0.612994,0.321505,0.460448,0.460448,14216
2020-07-23,0.480336,1.475131,0.403991,0.868244,0.868244,23107
2020-07-24,0.868244,1.492879,0.749789,1.311225,1.311225,185328
2020-07-25,1.328064,1.652645,1.307960,1.639106,1.639106,216983
2020-07-26,1.637305,1.730555,1.091499,1.119821,1.119821,352871
2020-07-27,1.119832,1.539976,0.775290,0.775999,0.775999,412952
2020-07-28,0.775314,1.015601,0.765898,0.779914,0.779914,209609
2020-07-29,0.780008,1.186059,0.395462,0.895541,0.895541,313175
2020-07-30,0.895451,1.180746,0.790248,0.826779,0.826779,301183
2020-07-31,0.826779,0.880122,0.764968,0.818595,0.818595,297500
2020-08-01,0.818090,0.833593,0.783560,0.786662,0.786662,307457
2020-08-02,0.787075,0.790043,0.499803,0.578422,0.578422,326932
2020-08-03,0.578361,0.621450,0.554000,0.557589,0.557589,210498
2020-08-04,0.557365,0.663608,0.556939,0.655940,0.655940,292186
2020-08-05,0.655787,1.005096,0.654044,1.001443,1.001443,420537
2020-08-06,1.001443,1.061576,0.842875,1.040017,1.040017,433650
2020-08-07,1.039653,1.091770,0.941518,0.942123,0.942123,377540
2020-08-08,0.944042,0.972671,0.895943,0.957400,0.957400,283936
2020-08-09,0.962637,1.510082,0.959333,1.449289,1.449289,519004
2020-08-10,1.449289,3.121174,1.417328,1.798286,1.798286,621877
2020-08-11,1.797813,1.983842,1.602742,1.810476,1.810476,629110
2020-08-12,1.809952,1.821854,1.640203,1.658218,1.658218,473104
2020-08-13,1.656501,2.259082,1.598485,2.115340,2.115340,539092
2020-08-14,2.116768,2.269953,1.827347,1.890171,1.890171,404972
2020-08-15,1.891015,1.959004,1.711456,1.788019,1.788019,377310
2020-08-16,1.792353,2.152802,1.776565,2.068028,2.068028,377962
2020-08-17,2.068028,2.264100,1.946730,1.955285,1.955285,655119
2020-08-18,1.955691,1.958674,1.725601,1.752212,1.752212,484455
2020-08-19,1.751699,1.752228,1.436353,1.586151,1.586151,354545
2020-08-20,1.586151,1.597766,1.265363,1.453885,1.453885,305768
2020-08-21,1.452194,1.467009,1.136039,1.175529,1.175529,361504
2020-08-22,1.175041,1.555269,1.150874,1.288331,1.288331,281735
2020-08-23,1.280910,1.552174,1.237033,1.309364,1.309364,255636
2020-08-24,1.309464,1.329595,1.166069,1.235101,1.235101,383946
2020-08-25,1.235327,1.247039,1.160576,1.193122,1.193122,386382
2020-08-26,1.192019,1.268700,1.185193,1.191163,1.191163,251163
2020-08-27,1.191375,1.245077,1.182413,1.244199,1.244199,294075
2020-08-28,1.242562,1.344217,1.235305,1.323636,1.323636,343688
2020-08-29,1.321223,1.461628,1.310681,1.382787,1.382787,295511
2020-08-30,1.382190,1.425615,1.145429,1.312648,1.312648,373083
2020-08-31,1.318880,1.411534,1.236888,1.284721,1.284721,406012
2020-09-01,1.284268,1.466459,1.271355,1.364759,1.364759,420607
2020-09-02,1.356912,1.639003,1.252873,1.515099,1.515099,400487
2020-09-03,1.516606,1.613375,1.440619,1.522823,1.522823,396845
2020-09-04,1.525239,1.560084,1.436247,1.531280,1.531280,309220
2020-09-05,1.534054,1.623147,1.165178,1.237301,1.237301,325524
2020-09-06,1.237025,3.436821,1.153581,2.542158,2.542158,1345217
2020-09-07,2.542122,2.575564,2.175709,2.186269,2.186269,725153
2020-09-08,2.183006,3.909295,1.984518,3.909295,3.909295,2658951
2020-09-09,3.908897,5.649994,3.880647,5.510043,5.510043,3137930
2020-09-10,5.510043,8.420238,5.422311,8.420238,8.420238,5367938
2020-09-11,8.425160,8.849856,7.053606,7.409262,7.409262,4594471
2020-09-12,7.408280,7.516014,6.734852,7.306689,7.306689,2455354
2020-09-13,7.306689,7.312715,5.539870,5.808785,5.808785,1364299
2020-09-14,5.812726,8.192586,5.702446,8.022928,8.022928,3573587
2020-09-15,8.022928,8.991791,7.958418,8.027589,8.027589,2981832
2020-09-16,8.004740,8.024069,6.940839,7.329100,7.329100,2139100
2020-09-17,7.329100,7.702287,6.852668,6.881023,6.881023,1739658
2020-09-18,6.857080,7.238845,5.588270,5.863588,5.863588,1374626
2020-09-19,5.862972,6.051022,5.709541,5.740540,5.740540,1069634
2020-09-20,5.732692,5.837038,4.857199,4.894050,4.894050,1236849
2020-09-21,4.894050,5.021721,3.970523,3.971420,3.971420,1775454
2020-09-22,3.966651,6.341771,3.950208,6.341771,6.341771,4692223
2020-09-23,6.965780,7.461397,4.898262,5.074848,5.074848,2697716
2020-09-24,5.074775,5.419574,4.645309,5.029720,5.029720,2148353
2020-09-25,4.926081,5.864435,4.843055,5.419833,5.419833,1622797
2020-09-26,5.346333,6.640854,5.259503,5.761662,5.761662,1534297
2020-09-27,5.762949,6.774892,5.709700,6.570325,6.570325,2230372
2020-09-28,6.566509,7.843128,6.477474,6.747738,6.747738,2683107
2020-09-29,6.762032,6.980766,6.361692,6.720403,6.720403,2062710
2020-09-30,6.787489,7.006597,6.164798,6.691559,6.691559,1625600
2020-10-01,6.720842,7.068160,6.056477,6.628399,6.628399,1667319
2020-10-02,6.628136,7.040726,5.442618,5.648707,5.648707,1400019
2020-10-03,5.638027,6.246411,5.457194,5.653671,5.653671,1123602
2020-10-04,5.819835,6.231361,5.366694,5.806645,5.806645,1701299
2020-10-05,5.908396,6.632115,4.952598,4.973876,4.973876,1695605
