Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,0.703598,0.703598,0.460602,0.529144,0.529144,1722601
2020-10-01,0.529125,0.538774,0.368312,0.462856,0.462856,1869509
2020-10-02,0.462856,0.471390,0.370748,0.461052,0.461052,1005459
2020-10-03,0.461052,0.656436,0.430582,0.513187,0.513187,1710596
2020-10-04,0.513187,0.604223,0.472866,0.576606,0.576606,2519456
2020-10-05,0.576666,0.740206,0.548010,0.658479,0.658479,5900525
2020-10-06,0.658480,0.699865,0.476139,0.493952,0.493952,1573062
2020-10-07,0.493953,0.527013,0.417718,0.501597,0.501597,779289
2020-10-08,0.501595,0.544240,0.466228,0.477275,0.477275,375456
2020-10-09,0.477278,0.492046,0.441148,0.482667,0.482667,728759
2020-10-10,0.488752,0.536832,0.470986,0.486685,0.486685,627414
2020-10-11,0.486685,0.529004,0.476905,0.506515,0.506515,503734
2020-10-12,0.506514,0.549036,0.488914,0.520463,0.520463,439824
2020-10-13,0.520464,0.606587,0.518926,0.537384,0.537384,356585
2020-10-14,0.537484,0.540451,0.464840,0.471478,0.471478,568997
2020-10-15,0.471477,0.493504,0.461087,0.484880,0.484880,190308
2020-10-16,0.484888,0.509522,0.457424,0.458541,0.458541,225232
2020-10-17,0.458541,0.467041,0.424371,0.432212,0.432212,358107
2020-10-18,0.432212,0.451237,0.431491,0.443172,0.443172,183215
2020-10-19,0.443172,0.443600,0.419222,0.421002,0.421002,206938
2020-10-20,0.421001,0.446443,0.414439,0.417237,0.417237,141208
2020-10-21,0.417237,0.474749,0.384592,0.385294,0.385294,340474
2020-10-22,0.385294,0.430908,0.379692,0.409801,0.409801,360616
2020-10-23,0.409801,0.414264,0.383239,0.387171,0.387171,113220
2020-10-24,0.387263,0.397279,0.382678,0.391345,0.391345,136698
2020-10-25,0.391230,0.393915,0.367286,0.382113,0.382113,111884
2020-10-26,0.382279,0.395662,0.356586,0.375584,0.375584,151704
2020-10-27,0.375646,0.403170,0.375109,0.382246,0.382246,112992
2020-10-28,0.382605,0.386521,0.347571,0.353896,0.353896,51796
2020-10-29,0.353840,0.357277,0.322172,0.329389,0.329389,122871
2020-10-30,0.329186,0.331294,0.288682,0.306382,0.306382,151625
2020-10-31,0.306015,0.316665,0.302761,0.306730,0.306730,42351
2020-11-01,0.306766,0.308720,0.298720,0.301596,0.301596,51352
2020-11-02,0.302027,0.308820,0.293740,0.298596,0.298596,61059
2020-11-03,0.298612,0.487542,0.255416,0.387914,0.387914,2723506
2020-11-04,0.387926,0.507184,0.317337,0.330668,0.330668,2621503
2020-11-05,0.330677,0.339433,0.309442,0.317356,0.317356,649190
