Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.230695,0.265613,0.224929,0.241079,0.241079,3208930
2017-11-10,0.240600,0.251190,0.206235,0.211754,0.211754,2539260
2017-11-11,0.212229,0.232707,0.211698,0.218484,0.218484,1472390
2017-11-12,0.217384,0.219946,0.173340,0.191061,0.191061,1613790
2017-11-13,0.191056,0.248565,0.188196,0.230638,0.230638,4378710
2017-11-14,0.228994,0.234231,0.217995,0.226023,0.226023,2009230
2017-11-15,0.226366,0.237822,0.210444,0.216816,0.216816,2956400
2017-11-16,0.218789,0.220819,0.200913,0.207423,0.207423,2772370
2017-11-17,0.207101,0.208888,0.193809,0.194835,0.194835,1780180
2017-11-18,0.195258,0.219878,0.192079,0.212551,0.212551,1896820
2017-11-19,0.212120,0.219638,0.198882,0.210871,0.210871,1613410
2017-11-20,0.207128,0.212307,0.201282,0.207189,0.207189,1268520
2017-11-21,0.206952,0.216586,0.190837,0.214969,0.214969,1353680
2017-11-22,0.214346,0.233954,0.202643,0.231720,0.231720,2987650
2017-11-23,0.231518,0.238246,0.211347,0.218445,0.218445,1685120
2017-11-24,0.216636,0.220193,0.208560,0.215770,0.215770,1075180
2017-11-25,0.215979,0.363071,0.213900,0.361207,0.361207,25002400
2017-11-26,0.357168,0.357306,0.268481,0.329155,0.329155,41835500
2017-11-27,0.328431,0.371437,0.308785,0.332173,0.332173,20247400
2017-11-28,0.332999,0.337223,0.288647,0.302831,0.302831,11378800
2017-11-29,0.302172,0.304437,0.242257,0.244286,0.244286,6167310
2017-11-30,0.249080,0.295128,0.227123,0.270129,0.270129,3528080
2017-12-01,0.268104,0.299548,0.250216,0.293320,0.293320,3047400
2017-12-02,0.293120,0.336163,0.293120,0.319952,0.319952,8540570
2017-12-03,0.323734,0.367299,0.306607,0.339288,0.339288,7906200
2017-12-04,0.336107,0.411314,0.329642,0.384827,0.384827,17768500
2017-12-05,0.385882,0.437138,0.361738,0.437138,0.437138,15375300
2017-12-06,0.422132,0.431736,0.364128,0.392851,0.392851,21151500
2017-12-07,0.382495,0.427660,0.318052,0.341526,0.341526,13954600
2017-12-08,0.340514,0.378574,0.304113,0.362909,0.362909,7108730
2017-12-09,0.361987,0.379281,0.309831,0.369380,0.369380,4930940
2017-12-10,0.368912,0.371070,0.295145,0.309825,0.309825,4303860
2017-12-11,0.310124,0.408936,0.310124,0.375159,0.375159,8420250
2017-12-12,0.376616,0.433568,0.366454,0.429412,0.429412,9743540
2017-12-13,0.431652,0.466528,0.381285,0.433591,0.433591,11016000
2017-12-14,0.435255,0.461522,0.424345,0.445939,0.445939,9547770
2017-12-15,0.447013,0.447172,0.379661,0.423851,0.423851,7805010
2017-12-16,0.436205,0.479507,0.427118,0.459465,0.459465,7579700
2017-12-17,0.465028,0.512915,0.452040,0.502424,0.502424,7535370
2017-12-18,0.508633,0.610671,0.483527,0.608534,0.608534,15912700
2017-12-19,0.607488,0.694981,0.548271,0.621187,0.621187,28398500
2017-12-20,0.614407,0.615514,0.517690,0.596313,0.596313,14974700
2017-12-21,0.599572,0.735679,0.579900,0.668589,0.668589,23920300
2017-12-22,0.662680,0.673484,0.376596,0.504619,0.504619,15112300
2017-12-23,0.513651,0.678341,0.496596,0.592124,0.592124,12291700
2017-12-24,0.592801,0.672382,0.520355,0.672382,0.672382,15482600
2017-12-25,0.675220,0.785645,0.631378,0.739602,0.739602,25150100
2017-12-26,0.737506,0.809965,0.618282,0.787687,0.787687,25392000
2017-12-27,0.769475,0.976365,0.739365,0.863923,0.863923,44933400
2017-12-28,0.849630,0.898436,0.709944,0.886635,0.886635,30150300
2017-12-29,0.868860,0.945086,0.835019,0.861387,0.861387,23877000
2017-12-30,0.841474,0.851512,0.640395,0.718177,0.718177,20355700
2017-12-31,0.708928,0.770468,0.686207,0.740654,0.740654,9895420
2018-01-01,0.743401,0.773263,0.702912,0.749514,0.749514,9278490
2018-01-02,0.747581,0.857584,0.735082,0.794609,0.794609,22796800
