Date,Open,High,Low,Close,Adj Close,Volume,Daily Return %,Daily Return
2023-10-31,2.100719,2.498093,2.028108,2.31583,2.31583,289765567,10.239875014221337,0.1023987501422133
2023-11-01,2.309061,2.648623,2.158097,2.545989,2.545989,352774400,10.260794322887106,0.102607943228871
2023-11-02,2.546809,2.840907,2.295526,2.403106,2.403106,244566181,-5.642472600026147,-0.0564247260002614
2023-11-03,2.402815,2.479148,2.248603,2.396585,2.396585,157832717,-0.2592792204143872,-0.0025927922041438
2023-11-04,2.396598,2.491876,2.360099,2.431411,2.431411,93958787,1.452600728198897,0.0145260072819889
2023-11-05,2.432488,2.462888,2.267084,2.311377,2.311377,84029167,-4.978894037709555,-0.0497889403770955
2023-11-06,2.311372,2.387579,2.25433,2.363665,2.363665,64597770,2.262422491922553,0.0226242249192255
2023-11-07,2.364171,2.448441,2.23018,2.340788,2.340788,106641621,-0.989057052133705,-0.009890570521337
2023-11-08,2.340826,2.403342,2.298493,2.375744,2.375744,76782931,1.491695666401528,0.0149169566640152
2023-11-09,2.37457,2.632327,2.295099,2.456539,2.456539,181282802,3.451951300656538,0.0345195130065653
2023-11-10,2.456328,3.290528,2.382707,3.182877,3.182877,295627236,,0.2957866376151719
2023-11-11,3.188509,4.220163,3.137285,3.964706,3.964706,707803538,,0.2434357249736476
2023-11-12,3.965428,4.824474,3.729066,4.6391,4.6391,582604533,,0.1698863275288316
2023-11-13,4.645124,5.936293,4.428103,4.428103,4.428103,890234300,-4.672017367028306,-0.046720173670283
2023-11-14,4.421485,6.313594,4.307816,6.031102,6.031102,845953413,,0.3640444330355073
2023-11-15,6.027245,6.471077,5.807369,5.870336,5.870336,583754954,-2.603328718178865,-0.0260332871817886
2023-11-16,5.865898,6.320065,5.528332,5.727657,5.727657,386522617,-2.3566894616987857,-0.0235668946169878
2023-11-17,5.731957,7.039722,5.731957,7.039722,7.039722,573505749,,0.2281533165723329
2023-11-18,7.037877,7.382099,6.429405,7.135653,7.135653,471828146,1.3892825918952496,0.0138928259189524
2023-11-19,7.136698,7.331923,6.646464,6.798554,6.798554,276504533,-4.738101570221968,-0.0473810157022196
2023-11-20,6.800065,6.99826,5.948715,6.008373,6.008373,298469227,-11.642418123944408,-0.116424181239444
2023-11-21,6.000905,6.140127,5.140166,5.140166,5.140166,398846561,-14.343486524115956,-0.1434348652411595
2023-11-22,5.129256,6.298903,5.045196,6.096744,6.096744,309943885,,0.1886215076806461
