Date,Open,High,Low,Close,Adj Close,Volume,Daily Return %,Daily Return
2020-09-18,3.488153,8.438537,3.261757,6.897257,6.897257,6061110198.0,,0.977337863333403
2020-09-19,6.945577,7.443275,5.321795,5.724464,5.724464,2447471305.0,,-0.1758115992379034
2020-09-20,5.720515,6.050326,4.72021,5.244195,5.244195,1554143599.0,-8.326523049061132,-0.0832652304906113
2020-09-21,5.244195,5.622155,4.160743,4.266079,4.266079,1329464490.0,,-0.1865140407631676
2020-09-22,4.275014,4.554092,3.75504,3.905138,3.905138,816282684.0,-8.652041841266477,-0.0865204184126647
2020-09-23,3.917944,4.707648,3.916562,4.653265,4.653265,964205457.0,,0.1876803241700239
2020-09-24,4.448576,5.249795,4.448575,5.137266,5.137266,1168427377.0,,0.1548113373807708
2020-09-25,5.160446,5.528679,4.848576,5.012952,5.012952,882242519.0,-2.858163809872248,-0.0285816380987224
2020-09-26,5.011349,5.225045,4.737246,4.805881,4.805881,463707078.0,-4.100053698116011,-0.0410005369811601
2020-09-27,4.802269,5.442522,4.728704,4.780899,4.780899,444099192.0,-0.4449979790803079,-0.004449979790803
2020-09-28,4.78143,4.937265,4.164315,4.187979,4.187979,435788116.0,,-0.1241157979934872
2020-09-29,4.187974,4.417395,4.118354,4.41738,4.41738,356399047.0,5.477732192224689,0.0547773219222468
2020-09-30,4.448182,4.448672,3.921893,4.013015,4.013015,375777187.0,-9.78303046053421,-0.0978303046053421
2020-10-01,4.014052,4.506503,3.974046,4.259865,4.259865,701098958.0,6.123812048274391,0.0612381204827439
2020-10-02,4.2618,4.292221,3.665554,3.785898,3.785898,646428104.0,-11.166690130930592,-0.1116669013093059
2020-10-03,3.783604,4.124612,3.749287,3.791614,3.791614,359042995.0,0.211702916055699,0.0021170291605569
2020-10-04,3.797647,3.816088,3.616777,3.668925,3.668925,413697306.0,-3.3895198790198187,-0.0338951987901981
2020-10-05,3.668925,3.716208,3.341256,3.419205,3.419205,497456257.0,-6.806353359635326,-0.0680635335963532
2020-10-06,3.416884,3.416884,2.721012,2.834241,2.834241,681166626.0,,-0.1705188118765518
2020-10-07,2.842322,2.988667,2.462868,2.800064,2.800064,664950267.0,-1.4867421776983716,-0.0148674217769837
2020-10-08,2.797326,3.4171,2.582608,3.270306,3.270306,717724262.0,,0.1690829027435487
2020-10-09,3.28566,3.555273,2.9954,3.097367,3.097367,672751181.0,-5.730751203715534,-0.0573075120371553
2020-10-10,3.081812,3.632204,3.054928,3.331527,3.331527,562610977.0,8.10286286119983,0.0810286286119982
2020-10-11,3.331239,3.442175,3.250743,3.38724,3.38724,411091368.0,1.6810862264760873,0.0168108622647608
2020-10-12,3.379021,3.429043,3.203085,3.260261,3.260261,558369285.0,-3.5146274616227595,-0.0351462746162275
2020-10-13,3.261673,3.62266,3.235385,3.497266,3.497266,383311535.0,7.223072331285207,0.072230723312852
2020-10-14,3.500179,3.582452,2.648806,3.082023,3.082023,516845493.0,,-0.1194670329717423
2020-10-15,3.077349,3.07741,2.86654,2.906949,2.906949,439092200.0,-5.537233508451589,-0.0553723350845158
2020-10-16,2.908383,3.163355,2.805559,3.034977,3.034977,578856190.0,4.352727959144303,0.043527279591443
2020-10-17,3.037373,3.085675,2.960528,3.000683,3.000683,274343380.0,-1.2079517398752182,-0.0120795173987521
2020-10-18,2.99508,3.276799,2.982761,3.266859,3.266859,270238697.0,9.074181657918986,0.0907418165791898
2020-10-19,3.274675,3.281866,3.128738,3.177664,3.177664,353126948.0,-2.962461923702344,-0.0296246192370234
2020-10-20,3.173583,3.181297,2.821474,2.8698,2.8698,542347476.0,-9.572240587373946,-0.0957224058737394
2020-10-21,2.861897,3.065714,2.850831,2.941374,2.941374,641102100.0,2.777074087571993,0.0277707408757199
2020-10-22,2.940848,3.139806,2.930286,3.03945,3.03945,490414767.0,3.35284244544431,0.0335284244544431
2020-10-23,3.044073,3.120281,2.974443,3.01219,3.01219,340365373.0,-1.0473796127753872,-0.0104737961277538
2020-10-24,3.01219,3.083292,2.93771,2.943257,2.943257,228726426.0,-2.2884678589331986,-0.0228846785893319
2020-10-25,2.943257,2.966797,2.729939,2.775747,2.775747,280177013.0,-5.691314078247331,-0.0569131407824733
2020-10-26,2.775747,2.868153,2.550701,2.725903,2.725903,402513710.0,-1.795696798015085,-0.0179569679801508
2020-10-27,2.725903,2.900549,2.710788,2.822399,2.822399,374717069.0,3.5399645548649263,0.0353996455486492
2020-10-28,2.822399,2.85034,2.599362,2.676116,2.676116,382606652.0,-5.182931258124735,-0.0518293125812473
2020-10-29,2.676116,2.734569,2.49409,2.541616,2.541616,452924614.0,-5.0259405795563445,-0.0502594057955634
2020-10-30,2.541617,2.554729,2.265245,2.414168,2.414168,407724693.0,-5.014484873212601,-0.050144848732126
2020-10-31,2.414168,2.414168,2.251597,2.266428,2.266428,195366723.0,-6.119706664987698,-0.0611970666498769
2020-11-01,2.266428,2.433622,2.227458,2.379305,2.379305,189355187.0,4.980392053045591,0.0498039205304559
2020-11-02,2.379305,2.440835,2.243257,2.25426,2.25426,267321819.0,-5.2555262986460365,-0.0525552629864603
2020-11-03,2.25426,2.281023,2.065942,2.134319,2.134319,249641515.0,-5.32063737102197,-0.0532063737102197
2020-11-04,2.134325,2.160387,1.888973,1.930119,1.930119,339588343.0,-9.567708760380922,-0.0956770876038092
2020-11-05,1.930123,2.401617,1.763817,2.206129,2.206129,513013238.0,,0.1429991767364047
2020-11-06,2.206116,2.677881,2.182031,2.550795,2.550795,584436650.0,,0.1562379312783188
2020-11-07,2.550795,2.995858,2.448126,2.466497,2.466497,771051235.0,-3.304773609796161,-0.0330477360979616
2020-11-08,2.466497,2.88537,2.442557,2.848617,2.848617,478996897.0,,0.1549241697841108
2020-11-09,2.848617,2.852006,2.586286,2.676863,2.676863,486394678.0,-6.029381977289329,-0.0602938197728932
2020-11-10,2.676864,3.103295,2.640133,3.007544,3.007544,514331154.0,,0.1235326112944102
2020-11-11,3.007544,3.149896,2.877065,2.912375,2.912375,525551143.0,-3.164342732807908,-0.031643427328079
2020-11-12,2.912375,3.081581,2.827266,2.930142,2.930142,538966370.0,0.6100519335593833,0.0061005193355938
2020-11-13,2.930142,3.96135,2.906121,3.879659,3.879659,765960347.0,,0.3240515306084142
2020-11-14,3.879659,3.953746,3.534731,3.809107,3.809107,774643440.0,-1.8185103381508567,-0.0181851033815085
2020-11-15,3.809107,4.236023,3.634849,3.862007,3.862007,742520518.0,1.388776949557998,0.0138877694955799
2020-11-16,3.862007,3.932907,3.459238,3.604012,3.604012,739416980.0,-6.680334862158463,-0.0668033486215846
2020-11-17,3.759261,3.848436,3.485387,3.803481,3.803481,753340390.0,1.1762950218141317,0.0117629502181413
2020-11-18,3.803454,3.847406,3.288325,3.463665,3.463665,855595852.0,-8.933695530431015,-0.0893369553043101
2020-11-19,3.46368,3.884875,3.247508,3.73306,3.73306,690972294.0,7.777277346637101,0.077772773466371
2020-11-20,3.73306,4.083962,3.684215,3.840914,3.840914,1046467101.0,2.889157956207512,0.0288915795620751
2020-11-21,3.840914,3.92577,3.600595,3.81223,3.81223,972140640.0,-0.7468014123721634,-0.0074680141237216
2020-11-22,3.81223,3.920586,3.44761,3.659053,3.659053,1008603253.0,-4.0180419334615145,-0.0401804193346151
2020-11-23,3.659053,4.204035,3.637181,4.188878,4.188878,1351039954.0,,0.1447983945572802
2020-11-24,4.189349,4.479371,3.957246,4.067073,4.067073,1346899109.0,-2.918735106576232,-0.0291873510657623
2020-11-25,4.065284,4.200112,3.579108,3.683754,3.683754,933020040.0,-9.385076171800057,-0.0938507617180005
2020-11-26,3.682017,3.765527,3.116538,3.431499,3.431499,1516484179.0,-6.803825186032547,-0.0680382518603254
2020-11-27,3.433836,3.518866,3.172942,3.316725,3.316725,665287433.0,-3.410500676211676,-0.0341050067621167
2020-11-28,3.316947,3.531016,3.266371,3.469671,3.469671,508403730.0,4.604354546515217,0.0460435454651521
2020-11-29,3.470265,3.569223,3.374748,3.552055,3.552055,483895368.0,2.356880526415137,0.0235688052641513
2020-11-30,3.551944,3.804333,3.53739,3.769074,3.769074,824763850.0,6.1129905201208015,0.061129905201208
2020-12-01,3.772612,3.975911,3.476761,3.555413,3.555413,1042619601.0,-5.757257836215331,-0.0575725783621533
2020-12-02,3.555058,4.168473,3.513476,3.93694,3.93694,729926104.0,10.74193444945202,0.1074193444945202
2020-12-03,3.94007,4.019715,3.808588,3.891982,3.891982,587622999.0,-1.22048593045301,-0.0122048593045301
2020-12-04,3.892268,3.916185,3.507199,3.528132,3.528132,595341444.0,-9.355368129841017,-0.0935536812984101
2020-12-05,3.528135,3.696547,3.457031,3.681674,3.681674,420480161.0,4.35184594693798,0.0435184594693798
2020-12-06,3.68187,3.777265,3.512129,3.653108,3.653108,423227915.0,-0.781179129083861,-0.0078117912908386
2020-12-07,3.653027,3.871732,3.570891,3.764541,3.764541,411938302.0,3.052646476470065,0.0305264647647006
2020-12-08,3.764226,3.764226,3.282556,3.284986,3.284986,546521147.0,,-0.1273143536015106
2020-12-09,3.285406,3.390823,3.132343,3.355417,3.355417,516081303.0,2.1309695057475406,0.0213096950574754
2020-12-10,3.355832,3.367771,3.191631,3.24361,3.24361,365002774.0,-3.3440887386496123,-0.0334408873864961
2020-12-11,3.243865,3.243865,2.926482,2.972109,2.972109,506458332.0,-8.377537289622099,-0.0837753728962209
2020-12-12,2.97015,3.174078,2.965925,3.122534,3.122534,299773732.0,5.130515293840381,0.0513051529384038
2020-12-13,3.122937,3.362191,3.074027,3.337822,3.337822,363657249.0,6.880862470168314,0.0688086247016831
2020-12-14,3.338559,3.520553,3.24721,3.485263,3.485263,364601424.0,4.394231163804509,0.043942311638045
2020-12-15,3.484302,3.516303,3.319636,3.331509,3.331509,331368559.0,-4.385182455481757,-0.0438518245548175
