Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2020-07-22,902.4131469726562,1494.584228515625,878.7884521484375,1200.8397216796875,108922,0.0,0.0,,0.3306983898762656
2020-07-23,1200.8397216796875,2238.9453125,1123.7061767578125,1894.56298828125,222879,0.0,0.0,,0.5776984672285903
2020-07-24,1894.56298828125,3254.46240234375,1700.2008056640625,3239.783447265625,525221,0.0,0.0,,0.7100426152654659
2020-07-25,3240.612548828125,4664.10546875,2905.75390625,3453.79541015625,2253002,0.0,0.0,6.578474227201784,0.0657847422720178
2020-07-26,3451.02392578125,3454.828125,2234.268798828125,3099.858642578125,1230522,0.0,0.0,-10.175683818929986,-0.1017568381892998
2020-07-27,3109.471923828125,3288.0322265625,2249.74609375,2876.587890625,3992772,0.0,0.0,-7.489504292304959,-0.0748950429230495
2020-07-28,2875.04638671875,3504.958251953125,2633.559814453125,3486.831298828125,7643382,0.0,0.0,,0.2127913187541981
2020-07-29,3487.0419921875,5167.0263671875,3406.216064453125,4497.65771484375,17940910,0.0,0.0,,0.2898203477103148
2020-07-30,4497.72314453125,4686.43994140625,3923.55517578125,4353.3017578125,4471048,0.0,0.0,-3.210988806510933,-0.0321098880651093
2020-07-31,4353.3017578125,4725.40576171875,3399.34716796875,4329.52587890625,12040219,0.0,0.0,-0.5461573818902274,-0.0054615738189022
2020-08-01,4325.83056640625,4614.6640625,3808.3046875,3808.3046875,6806218,0.0,0.0,,-0.1196361880017396
2020-08-02,3809.7724609375,4089.95263671875,3451.927490234375,3971.375,5857149,0.0,0.0,4.241789784546167,0.0424178978454616
2020-08-03,4024.884033203125,4300.50390625,3538.33349609375,3754.2021484375,5617710,0.0,0.0,-6.725209534800141,-0.0672520953480014
2020-08-04,3756.005126953125,3951.4677734375,3540.748291015625,3660.015625,4801763,0.0,0.0,-2.555627553974927,-0.0255562755397492
2020-08-05,3657.9921875,4193.392578125,3606.635498046875,4114.201171875,7763147,0.0,0.0,,0.1247156803488935
2020-08-06,4114.201171875,5027.60791015625,3997.884521484375,4853.478515625,10300217,0.0,0.0,,0.1796891578379194
2020-08-07,4854.18603515625,5455.30126953125,3422.657470703125,4298.9375,12648203,0.0,0.0,,-0.1143855079172665
2020-08-08,4275.7998046875,4789.39892578125,4000.7197265625,4432.39111328125,10834109,0.0,0.0,3.662269417339912,0.0366226941733991
2020-08-09,4436.38427734375,4574.88134765625,3931.61572265625,4087.22802734375,5995518,0.0,0.0,-7.870288689442713,-0.0787028868944271
2020-08-10,4087.22802734375,7149.48388671875,4023.685546875,6263.32177734375,59230911,0.0,0.0,,0.532413101359119
2020-08-11,6261.9228515625,6593.314453125,5772.9296875,6053.3779296875,35068291,0.0,0.0,-3.3303655573297752,-0.0333036555732977
2020-08-12,6052.90087890625,6052.90087890625,5353.39208984375,5828.81103515625,27696536,0.0,0.0,-3.702189218576675,-0.0370218921857667
2020-08-13,5826.7529296875,5828.68798828125,4381.6728515625,5428.55615234375,35907914,0.0,0.0,-6.833939625531816,-0.0683393962553181
2020-08-14,5432.0146484375,5432.0146484375,4842.56591796875,5003.6376953125,19026817,0.0,0.0,-7.8861523918795235,-0.0788615239187952
2020-08-15,5003.35302734375,5396.3056640625,4198.80078125,5388.205078125,31291457,0.0,0.0,7.691882796956377,0.0769188279695637
2020-08-16,5394.58984375,6647.34326171875,5257.56201171875,6647.34326171875,40286860,0.0,0.0,,0.2322240344963668
2020-08-17,6647.34326171875,9018.4873046875,6416.77978515625,8890.7509765625,76590500,0.0,0.0,,0.3374893738019014
2020-08-18,8882.5830078125,11759.84375,8716.03125,9717.9111328125,96669856,0.0,0.0,9.40411279315154,0.0940411279315153
2020-08-19,9710.9404296875,12634.560546875,9678.8837890625,12600.8408203125,100143012,0.0,0.0,,0.2975922271946217
2020-08-20,12600.8408203125,16398.52734375,11593.509765625,15317.1201171875,185263981,0.0,0.0,,0.2155633370509982
2020-08-21,15308.2431640625,15366.802734375,11968.6025390625,12390.63671875,97045073,0.0,0.0,,-0.1905905474615041
2020-08-22,12396.7216796875,14329.83984375,11356.134765625,14074.498046875,67543784,0.0,0.0,,0.1353403271073351
2020-08-23,14058.3818359375,14093.8310546875,12137.708984375,12535.7568359375,43595459,0.0,0.0,,-0.1083072730396116
2020-08-24,12549.150390625,14517.740234375,12283.203125,14467.9033203125,52689372,0.0,0.0,,0.1528990306085524
2020-08-25,14480.740234375,14688.3974609375,12944.7587890625,13555.517578125,58465028,0.0,0.0,-6.389332598161432,-0.0638933259816143
2020-08-26,13554.228515625,16161.876953125,13319.7919921875,15594.2822265625,86353875,0.0,0.0,,0.1505104999953168
2020-08-27,15630.3876953125,15806.8310546875,14090.7900390625,14220.6650390625,67426134,0.0,0.0,-9.019115096375833,-0.0901911509637583
2020-08-28,14222.568359375,19371.8671875,14179.5498046875,18786.712890625,188259687,0.0,0.0,,0.3209086021542291
2020-08-29,18854.533203125,27490.041015625,17977.080078125,27293.408203125,509583890,0.0,0.0,,0.447578039142402
2020-08-30,27430.36328125,38683.5078125,27224.470703125,31807.6484375,938499196,0.0,0.0,,0.159578096409758
2020-08-31,31836.369140625,39306.1015625,29982.794921875,35102.08203125,684094659,0.0,0.0,,0.1025780570705145
2020-09-01,35098.3984375,36586.34375,31576.88671875,32139.298828125,535757877,0.0,0.0,-8.43086790596526,-0.0843086790596526
2020-09-02,32129.55859375,32648.5234375,26196.826171875,31901.630859375,468719309,0.0,0.0,-0.7094020097099548,-0.0070940200970995
2020-09-03,31960.68359375,33010.02734375,28113.119140625,29858.001953125,416033860,0.0,0.0,-6.57896328924637,-0.0657896328924637
2020-09-04,29776.806640625,31499.841796875,24457.529296875,27606.25,319283397,0.0,0.0,-7.289420476887782,-0.0728942047688778
2020-09-05,27511.732421875,28673.658203125,18755.916015625,22281.98828125,432785297,0.0,0.0,,-0.1900914148345943
2020-09-06,22226.5703125,25101.126953125,19798.16796875,23917.515625,294856675,0.0,0.0,7.607765339977034,0.0760776533997703
2020-09-07,24007.71484375,24533.302734375,20766.1328125,22960.94921875,175222401,0.0,0.0,-4.360121868377272,-0.0436012186837727
2020-09-08,22948.310546875,23428.966796875,21237.15234375,22440.49609375,149939446,0.0,0.0,-2.212862040923321,-0.0221286204092332
2020-09-09,22433.90625,29036.958984375,21676.62109375,27875.431640625,307226839,0.0,0.0,,0.2425580872981048
2020-09-10,27848.486328125,34937.01953125,27728.275390625,34052.0859375,632167299,0.0,0.0,,0.2227625421461346
2020-09-11,34052.92578125,38133.06640625,31872.951171875,37966.52734375,437606131,0.0,0.0,,0.1149270282277736
2020-09-12,38038.85546875,43873.8203125,36611.6171875,43282.0390625,625806005,0.0,0.0,,0.1378375750042591
2020-09-13,43341.26953125,43341.26953125,32783.50390625,36748.12109375,577867566,0.0,0.0,,-0.1521217192944982
2020-09-14,36805.609375,42211.90625,34996.16796875,39943.71484375,578697437,0.0,0.0,8.526160881557201,0.085261608815572
2020-09-15,39943.71484375,41464.75390625,35383.68359375,35421.453125,607013551,0.0,0.0,,-0.1132158522671207
2020-09-16,35415.9609375,36987.37109375,30962.533203125,34856.546875,722331107,0.0,0.0,-1.5795535337505624,-0.0157955353375056
2020-09-17,34856.546875,36466.89453125,29761.263671875,33214.44921875,580681557,0.0,0.0,-4.71101644732271,-0.0471101644732271
2020-09-18,33219.5,34524.60546875,31537.78515625,33012.97265625,453329024,0.0,0.0,-0.6217051543521124,-0.0062170515435211
2020-09-19,33006.19140625,33124.63671875,28072.115234375,31003.337890625,458062493,0.0,0.0,-6.068114587876209,-0.060681145878762
2020-09-20,31017.8125,31017.8125,26377.509765625,27860.318359375,436824142,0.0,0.0,-10.179615795359522,-0.1017961579535952
2020-09-21,27860.318359375,28132.103515625,21921.25390625,24136.033203125,631881291,0.0,0.0,,-0.1336770494941877
2020-09-22,24122.22265625,26749.33984375,22798.453125,25031.580078125,456662004,0.0,0.0,3.76979117900393,0.0376979117900393
2020-09-23,25026.810546875,26011.556640625,21551.73828125,21551.73828125,339603477,0.0,0.0,,-0.1388539805787964
2020-09-24,21372.544921875,25156.0859375,20500.068359375,25136.251953125,333970188,0.0,0.0,,0.1761000875191896
2020-09-25,25247.517578125,27501.91796875,23400.65625,26837.033203125,288585173,0.0,0.0,6.295730342919698,0.0629573034291969
2020-09-26,26841.09765625,31746.140625,26158.806640625,31746.140625,472314850,0.0,0.0,,0.1827437548034795
2020-09-27,31694.67578125,34009.13671875,28405.935546875,30492.125,572155818,0.0,0.0,-3.794172843255293,-0.0379417284325529
2020-09-28,30586.994140625,31109.923828125,27905.01953125,28598.26953125,425568532,0.0,0.0,-6.501863505226288,-0.0650186350522628
2020-09-29,28539.435546875,28790.18359375,23722.58984375,25048.32421875,760030526,0.0,0.0,,-0.1223258715958476
2020-09-30,25074.0703125,25074.0703125,22101.0703125,23848.3359375,649065656,0.0,0.0,-4.88845392759764,-0.0488845392759764
2020-10-01,23856.203125,26090.771484375,21813.978515625,22793.33984375,822458236,0.0,0.0,-4.455291043930528,-0.0445529104393052
2020-10-02,22789.66796875,23166.478515625,19270.30859375,21096.23828125,770230583,0.0,0.0,-7.430690477027094,-0.0743069047702709
2020-10-03,21077.25390625,21663.517578125,18758.66796875,18880.53125,478558258,0.0,0.0,,-0.1042224317276269
2020-10-04,18887.0234375,20129.677734375,16203.146484375,19122.591796875,772901962,0.0,0.0,1.2472497858359264,0.0124724978583592
2020-10-05,19161.390625,20409.4609375,17642.419921875,19083.126953125,547634434,0.0,0.0,-0.408444634351793,-0.0040844463435179
2020-10-06,19034.173828125,19120.71875,16289.587890625,16711.96484375,517475660,0.0,0.0,,-0.1220020897856723
2020-10-07,16673.439453125,16673.439453125,13779.61328125,14770.0224609375,636547401,0.0,0.0,,-0.114158629210169
2020-10-08,14818.3857421875,17281.1484375,12361.6865234375,16506.837890625,1116051776,0.0,0.0,,0.1139430554591737
2020-10-09,16696.06640625,19202.630859375,15909.0595703125,18168.9453125,2291173721,0.0,0.0,8.82171207523853,0.0882171207523853
2020-10-10,18076.333984375,19286.978515625,15964.2646484375,16003.5673828125,1762814426,0.0,0.0,,-0.114667421134959
2020-10-11,16015.134765625,17676.58984375,15124.44140625,16935.53125,1917783179,0.0,0.0,5.747041769205374,0.0574704176920537
2020-10-12,16918.427734375,17419.009765625,15776.392578125,16504.50390625,1644258427,0.0,0.0,-2.446585667555776,-0.0244658566755577
2020-10-13,16529.87109375,16667.568359375,15369.126953125,15678.4423828125,1428434506,0.0,0.0,-5.150849066569116,-0.0515084906656911
2020-10-14,15640.4970703125,16013.7919921875,13828.7587890625,14600.17578125,1420058401,0.0,0.0,-6.651459249573033,-0.0665145924957303
