Symbol,Rating,Risk,Composite_Score,Original Return [%],Scaled_Return,Scaled_Sharpe,Max. Drawdown [%],Duration,Inverted_High_Current_Ratio
FTN,100.0,Low,3.8871262352293545,459.96977570438384,1.003517708111508,9.30082558980579,4.231781119169045,-1.6056203517317773,3.2513893480298113
CHEEL,99.68627450980392,Medium,2.7056052204276995,376.351013095,0.8953613742155925,6.402407893754787,2.1031866087700894,-1.6348657994574762,3.1107146548556237
BTC,99.37254901960785,Low,2.201794742903157,13563.2397807312,3.020203131672058,2.786341462278021,0.2784929169671328,3.084425923015833,2.2401378271519525
PAXG,99.05882352941177,Low,2.14661278924397,56.28960327148438,0.029083082670068337,2.5623498252473382,3.4095053662816173,0.2599313663496483,3.1829984930361013
BGB,98.74509803921568,Medium,2.120141790371936,1047.823030109726,1.7256347260977012,4.429367581558646,1.949916025737403,-0.9560635654030961,1.7943802825777424
BNB,98.4313725490196,High,1.8872236523650976,27730.43548477173,3.3817651018882735,2.2058715551425983,0.4469033488906569,1.3158459526564619,1.893388739146911
WBTC,98.11764705882352,Low,1.7938390259894348,1418.1422705078126,1.8786347129246794,2.8428508696166324,0.6247161621650008,0.6278083140571241,2.2504783941341233
LEO,97.80392156862744,Low,1.7095458052465116,434.250682173,0.9702514556500244,2.305575854223171,1.5426063535708439,0.47080643679284573,2.4188909067094135
KAS,97.49019607843137,High,1.6363107095622134,26165.66445516815,3.352400740191649,1.3405819316929122,1.1238465326716405,-1.246978808569259,2.2952823635828485
USDC,97.17647058823529,Low,1.533014137332088,-0.9774130707979202,-0.6261848551329797,-0.4235459377533611,4.180227920518839,0.8032810004113177,3.1312287723336296
USDP,96.86274509803921,Low,1.5297145718954412,0.0140391744375519,-0.6260214249372155,-0.4213414272591176,4.165233440769488,0.8202125754104065,3.1209081157463734
USDT,96.54901960784314,Low,1.5251419805335997,-0.5565720760822296,-0.6261848551329797,-0.4235459377533611,4.014529135618186,1.3158459526564619,3.0101271069078126
TUSD,96.23529411764706,Low,1.4847546380484808,-1.1861264783740044,-0.6261848551329797,-0.4235459377533611,3.9535913382735504,1.1357555640297896,2.9803960906177553
FRXETH,95.92156862745098,Low,1.4699185959675944,71.18757811199998,0.2025105840881099,2.6825121862135024,2.394388093932053,-1.579453372187731,1.9100810379686297
BUSD,95.6078431372549,Low,1.4577568882405125,-0.3287662596702576,-0.6261848551329797,-0.4235459377533611,4.142062470643203,0.26916677089460583,3.101242201480257
DAI,95.29411764705883,Low,1.375005788238274,-0.1390211185217049,-0.6261848551329797,-0.4235459377533611,3.9730937535747173,0.17219502317255153,2.956089406846951
LUSD,94.98039215686275,Low,1.3726277232044508,0.3388089094162133,-0.62224077660907,-0.37221346942658695,4.18283901515008,-0.6420598108745393,3.08321792326855
USDD,94.66666666666667,Low,1.3476450273242846,-1.8866624927520756,-0.6261848551329797,-0.4235459377533611,4.2514663751585475,-1.2008017858444713,3.2258088843693815
FRAX,94.3529411764706,Low,1.3471895834942067,-1.8161820598840712,-0.6261848551329797,-0.4235459377533611,4.081002135916893,-0.44503784724877826,3.029968447067137
GUSD,94.03921568627452,Low,1.3230879090620737,0.2032063174248032,-0.6238193279871355,-0.4124428652416688,3.495712986829835,0.8063594685929701,2.853672972713404
MX,93.72549019607843,High,1.2401182862340079,2415.363639755964,2.1478479213306523,1.3368516011061422,0.34281028576334316,0.2630098345313008,1.6328825938174516
OKB,93.41176470588235,Medium,1.2080296305709695,1925.700498959184,2.033307604049885,1.6294105240412229,0.5241018954476445,0.48927724588276084,1.0702216683984758
CET,93.09803921568627,Medium,1.2047154496770016,1363.616412989576,1.8588128842233549,1.7579888592342576,0.36439612305725727,0.6693676345094332,1.1258542283374655
SOL,92.7843137254902,High,1.2015633223116642,14470.455317132057,3.0529362099067168,1.6028678806706675,-0.3797901945730586,-0.043297749543124694,1.2727427787375984
GT,92.47058823529412,Medium,1.1995779041998362,761.2617391161918,1.3932225205009052,1.579511508829608,0.6004272496175725,0.3076476231652623,1.5947589994526954
TRX,92.15686274509804,High,1.169326338190238,5961.184161784222,2.604583037683013,0.9545629264123261,-0.3665589209981326,1.3158459526564619,1.4763866498140346
TON,91.84313725490196,High,1.1114253033241184,892.3756689900001,1.5628112770827431,1.4428187175580227,0.3598879920757352,-0.8159932631379067,1.940514909757155
STETH,91.52941176470588,Low,0.9970474932352813,324.267786996,0.8279945462866206,1.7850542042670725,0.42864323028563295,-0.42502780406803686,1.5043537226520256
QNT,91.2156862745098,High,0.9753731763510908,23475.149232800155,3.2975443275250442,1.1974340880779004,-0.015241136368118986,0.8940958117700669,-0.16228849737087034
TWT,90.90196078431373,High,0.932699524107777,7194.376724938846,2.6996442812453707,0.696225681747879,0.6877481123338086,-0.21415273362483941,0.5011660570149443
ETH,90.58823529411765,Low,0.9248262732655064,667.025251159668,1.2713327347812058,1.1325351271710282,-0.25905549708661085,1.3158459526564619,1.2788619898773967
WBT,90.27450980392157,Medium,0.907949117523617,129.8244625415802,0.576492652844777,1.405876263567734,0.5226951083977421,-1.3793529403803173,2.0420221126899376
LINK,89.9607843137255,High,0.8662591196315526,5187.50340334654,2.5343014249011753,1.06487319084144,-0.06897380891351154,1.3158459526564619,-0.026526583586019777
MATIC,89.64705882352942,High,0.7778778256756834,8571.085225646524,2.7881656062379445,0.9772363606788759,0.04571377928503717,0.49235571406441336,-0.22254900194068375
RUNE,89.33333333333334,High,0.761610299580141,18558.611154657137,3.178732797215749,0.9720028800608425,-0.37036583031755144,0.35998158225335514,-0.1780027637437621
LTC,89.01960784313727,Medium,0.7519977863450344,1197.9323650684355,1.79332064324006,0.6539425443643064,-0.2355833268730349,3.084425923015833,-0.17543535495376925
ANT,88.70588235294117,High,0.6165736134788655,439.7595128098726,0.9773768292760481,0.25177797462178086,-0.3731576191127458,1.3158459526564619,1.1912862807552043
KCS,88.3921568627451,High,0.6009023431189195,1072.763687919557,1.737527329344787,0.609441995197493,-0.48323171271928705,1.3158459526564619,0.3014522219344872
AR,88.07843137254902,High,0.581926536021106,2777.275301597,2.21843483531228,0.8542606044888504,-0.34684187913614584,-0.11564175181195886,0.15030773588204135
INJ,87.76470588235294,High,0.5786387224022731,1194.074410488367,1.791689845431692,0.9608453615203918,-0.30131952859563593,-0.3419091631634189,0.43092395819107154
MKR,87.45098039215686,Medium,0.5618905331704755,481.0179591369629,1.030742391713571,0.4925110445657724,-0.14019719440317824,1.298914377657373,0.5220600686964219
FLUX,87.13725490196079,High,0.5031818632778532,1584.0628731467857,1.9345728165756666,0.43987032894851663,-0.14227700305126753,0.906409684496677,-0.18505134129484216
STX,86.82352941176471,High,0.47423449023171294,576.5972850820001,1.1543690655349546,0.4205054693197939,-0.20611885644620023,0.21221510953403427,0.6830640621639035
OCEAN,86.50980392156863,High,0.4407678163164651,1031.004227268219,1.7174540124582462,0.43945350987233844,-0.2346494610616138,0.4800418413378033,0.0016183544279128072
ADA,86.19607843137254,High,0.4228720421658285,1039.3671300066824,1.7215382989205021,0.5274877075181049,-0.46040585571853704,1.3158459526564619,-0.337916318527367
TRB,85.88235294117646,High,0.4213832082762064,2019.6191185970304,2.0573820667028504,0.31899223349993916,-0.281131644533606,0.17681272544503032,-0.05280086192941983
NEXO,85.56862745098039,Medium,0.4078484231370529,257.8530909013749,0.7420907392671191,0.37592113676037686,-0.00030640431532499336,1.049558454943519,0.23430801113236013
MANA,85.25490196078431,High,0.3973030384716718,2017.7257381128336,2.0569078824593254,0.2839786520872691,-0.3337326929070584,1.3158459526564619,-0.5788442085982095
RPL,84.94117647058823,High,0.386999236369282,995.8925621315242,1.6967047635336663,-0.2579644144067754,0.09793477840395517,0.9294981958590709,-0.027227088851191024
AKT,84.62745098039215,High,0.34511293534570886,474.4271435567141,1.0222175292508995,0.7680867703139977,-0.4452762842565439,-0.34036992907259267,0.39445895000614906
AXS,84.31372549019608,High,0.34412845936047176,2918.991591749743,2.243595615862608,0.8852969967501663,-0.4387418000787079,-0.36345844043498654,-0.6574991421510802
HNT,84.0,High,0.3425295479582817,1529.6251993975638,1.9168931630855566,0.798303043710318,-0.45424461007970285,-0.13411256090187396,-0.4197563570696022
FTM,83.68627450980392,High,0.3356997725130711,1233.5191156775506,1.8081205431443097,0.2807149905914828,-0.3083668968623923,0.7694178504131399,-0.40670664081674945
BNX,83.37254901960785,Medium,0.29912935008993846,2.1394170999999917,-0.6012798753544536,-0.3688455899625089,0.13860906247808125,-1.6441012040024339,2.6136840124917478
TIA,83.05882352941177,High,0.2969089435125687,97.092544234,0.5040706012684041,1.0695516461983314,0.6241154358179827,-2.0427628335264347,0.1881776112227723
GNO,82.74509803921569,Medium,0.2475077421237612,126.10301602935792,0.5716791636350417,0.0479412050112309,-0.45942858801082714,1.3158459526564619,0.2968652262884896
XDC,82.43137254901961,High,0.22866923805389988,573.0944945294558,1.1498383959490126,0.12051335508527618,-0.39822072114885276,1.0772646685783918,-0.2372889999737616
JST,82.11764705882354,Medium,0.22686872058318308,280.02651948623225,0.7707708664395813,0.5905095229625138,-0.007388580577121604,-0.08485706999543369,-0.19652503921706946
THETA,81.80392156862746,High,0.2087837311415321,485.7164955784082,1.0368196937487255,0.2838964833436744,-0.36824636130582367,1.20963880038945,-0.4645814255963501
CRO,81.49019607843138,Medium,0.18896261804743036,395.5545423059798,0.9202000976373336,0.4314355741699163,-0.2919959484388652,0.7001523163259583,-0.42710319862264934
RETH,81.17647058823529,Low,0.1875094261060477,-39.81721777343751,-0.6261848551329797,-0.4235459377533611,0.5232862027997723,-0.9545243313122699,1.6112133787319687
BORG,80.86274509803921,Low,0.1861805831857223,-39.856618062078944,-0.6261848551329797,-0.4235459377533611,1.7308781075932516,-2.0350666630723038,1.0784580411193596
KSM,80.54901960784314,High,0.17731905246732532,726.7798920017481,1.3486221215775283,0.6677324083063706,-0.4327110601020401,0.14141034135602637,-0.6576275454044973
NEAR,80.23529411764706,High,0.1687498641534995,331.4956066685915,0.8373433389911966,0.5348081106646184,-0.3206263285400109,-0.3311345245276351,-0.056494297801032066
STSOL,79.92156862745098,Low,0.1646619769542687,12.116127290000003,-0.48514087397030753,-0.2432122336006214,-0.36566902450062366,-0.8637095199535206,1.9458552564403524
ENJ,79.6078431372549,High,0.14756214511240634,581.6323519180119,1.1608816513818399,0.11382442151948316,-0.4218264973316362,1.3158459526564619,-0.6489598830676021
AVAX,79.29411764705883,High,0.1468277515191476,267.28953638505936,0.7542962696609573,0.49416812813325534,-0.23640331782913898,-0.18798575408079302,-0.17590835071648955
XRP,78.98039215686275,Medium,0.14231785652733953,132.76183001212777,0.5802919783430941,0.010529960589112054,-0.3590132574011781,1.3158459526564619,-0.1776719488099294
FET,78.66666666666666,High,0.1319903791569638,136.47965653747323,0.5851007852961548,-0.052106033081024204,-0.42663089605960963,0.5800920572415101,0.2195299859230155
XLM,78.35294117647058,Medium,0.12661672587778844,167.07999933093788,0.6246806689158154,0.12922995418083524,-0.37959565618269614,1.3158459526564619,-0.3674039305736628
MSOL,78.0392156862745,High,0.12482903117254124,14.776950746000002,-0.4541661966313687,-0.42315589212680443,-0.36558591284442765,-0.8760233926801307,1.9356726865350653
XNO,77.72549019607843,High,0.08600622243743691,475.7890661966801,1.0239791023140725,0.08090053427517663,-0.5168524889889935,1.3158459526564619,-0.6782790680604994
XMR,77.41176470588235,Low,0.08385867558458328,21.849416687011704,-0.3718355369179303,-0.26740079071135525,-0.21046558235095858,1.3158459526564619,0.4593834628891254
GNS,77.09803921568627,High,0.07794293199196442,91.44225107336044,0.4382954717209807,0.18596007946985355,0.049278522230557335,-0.9206611813140922,0.1675821432870594
OP,76.7843137254902,Medium,0.07700985189186967,40.30075226509571,-0.1570433211041079,0.2543139060243214,0.7033519180515565,-1.4424615381041939,0.24672840878592903
